URL;Título;Resumo;Data
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=22/09/2026&jornal=530&pagina=12;AVISO DE HOMOLOGAÇÃO;<p>Nº PROCESSO: 67102.260219/2026-36 HOMOLOGAÇÃO: Ao analisar os procedimentos administrativos realizados pela Comissão Aeronáutica Brasileira em Washington, no processo referenciado, cujo objeto é a escolha da proposta mais vantajosa para a contratação de serviço de Licenciamento de Plataforma de Comunicação Unificada em Nuvem, modalidade Software como Serviço (SaaS), por meio da solução Cisco Webex, com licenciamento por usuário identificado (Named User), para 350 (trezentos e cinquenta) usuários, pelo período de 12 (doze) meses, condições e exigências estabelecidas no Termo de Referência, neste Edital e seus anexos, em conformidade com a Portaria GM-MD nº 5.175, de 2021, resolvo: Homologar o objeto da presente licitação em favor da empresa U-TT INTERNATIONAL INC, no valor total de US$ 45,188.50.</p><p class="assina">Fábio Ferreira Silva Cel Av</p><p class="cargo">Ordenador de Despesa</p>;22/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=22/09/2026&jornal=530&pagina=14;AVISO DE HOMOLOGAÇÃO E ADJUDICAÇÃO;<p>O Grupamento de Apoio de Recife, por intermédio da Ordenadora de Despesas, torna pública, após constatar a regularidade dos atos procedimentais relativos ao PAG nº 67614.007816/2022-31, a HOMOLOGAÇÃO da Concorrência Eletrônico nº 90006/GAP-RF/2026, cujo objeto é a Contratação de empresa para realizar a reparação da rede de esgoto da vila habitacional do DESTACAMENTO DE CONTROLE DO ESPAÇO AÉREO DE PORTO SEGURO/BA (DTCEA-PS), e a ADJUDICAÇÃO do item à empresa vencedora, conforme segue: 12.262.916/0001-07 - I NOVA SERVIÇOS E DISTRIBUIDORA LTDA (item 1), valor total de R$ 425.000,00 (Quatrocentos e Vinte e Cinco Mil reais).</p><p class="assina">LISLAINE LINK</p><p class="cargo">Ordenadora de Despesas</p>;22/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=22/09/2026&jornal=530&pagina=11;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 59/2026 / Número do processo: 67222.002090/2026-87 / Objeto: Aquisição de gêneros alimentícios hortifrúti e temperos do setor de subsistência.</p><p>Data de início de recebimento de propostas: 22/09/2026, 08:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 02/10/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12063105000592026</p><p class="assina">SILVIA NATALIA SOARES MENEZES DA SILVA</p><p class="cargo">Ordernador de Despesas</p>;22/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=22/09/2026&jornal=530&pagina=11;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 60/2026 / Número do processo: 67222.003625/2026-37 / Objeto: Aquisição de gêneros alimentícios industrializado para o setor de subsistência.</p><p>Data de início de recebimento de propostas: 22/09/2026, 08:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 02/10/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12063105000602026</p><p class="assina">SILVIA NATALIA SOARES MENEZES DA SILVA</p><p class="cargo">Ordernador de Despesas</p>;22/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=22/09/2026&jornal=530&pagina=12;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 77/2026 / Número do processo: 67710002453202500 / Objeto: Serviço de Confecção de Material Institucional</p><p>Data de início de recebimento de propostas: 22/09/2026, 10:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 08/10/2026, 10:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12001305000772026</p><p class="assina">EDVALDO SOUSA DE OLIVEIRA JUNIOR</p><p class="cargo">p/ Equipe de apoio</p>;22/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=22/09/2026&jornal=530&pagina=13;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 47/2026 / Número do processo: 67720.003727/2026-31 / Objeto: Contratação de empresas especializadas para execução eventual e sob demanda, de serviços comuns de engenharia, destinados à manutenção e conservação de Próprios Nacionais Residenciais (PNR) e respectivas áreas comuns, sob a responsabilidade da Prefeitura de Aeronáutica de São José dos Campos (PASJ).</p><p>Data de início de recebimento de propostas: 22/09/2026, 08:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 06/10/2026, 08:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12001605000472026</p><p class="assina">PLINIO SILVA DE FARIAS</p><p class="cargo">Agente de contratação</p>;22/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=22/09/2026&jornal=530&pagina=14;AVISO DE LICITAÇÃO;<p>Nº Processo: DA-ADM-2026/00033. Republicação. Objeto: Contratação de empresa especializada em fornecimento e instalação de mobiliário para a sede da ALADA, pelo Sistema de Registro de Preços (SRP). Vigência: 12 (doze) meses. Total de itens a serem licitados: 20 itens. Edital: de 2ª a 5ª feira (dias úteis), das 9:30h às 12:00h e das 13:30h às 16:30h, e às sextas-feiras, das 8:30h às 12:00h. Endereço: Esplanada dos Ministérios, Bloco M - Anexo - 3º andar, Brasília, ou em https://www.gov.br/compras. Entrega das Propostas: a partir de 22/09/2026 às 09:00h, e abertura da Sessão Pública: 02/10/2026 às 09:00h, no site https://www.gov.br/compras. Informações Gerais: Conforme condições, quantidades e exigências previstas no Edital nº 10/2026 e respectivos anexos, também disponível no site https://www.alada.gov.br/licitacoes.</p><p class="assina">ALEXANDRE FALCONIERE DE TORRES</p><p class="cargo">Diretor de Administração</p>;22/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=22/09/2026&jornal=530&pagina=14;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 81/2027 / Número do processo: 67246.000155/2025- 09 / Objeto: Contratação de Serviços de Instalação e Manutenção Corretiva em Equipamentos de Rancho da Seção de Subsistência,, conforme condições (SSUB) do Grupamento de Apoio (GAP-RJ) do Rio de Janeiro.</p><p>Data de início de recebimento de propostas: 22/09/2026, 10:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 06/10/2026, 10:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12003905000812027</p><p class="assina">DIEGO SOARES DA SILVA</p><p class="cargo">Agente de contratação</p>;22/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=22/09/2026&jornal=530&pagina=11;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 77/2026 / Número do processo: 67293.007488/2026-76 / Objeto: AQUISIÇÃO DE CAPACHOS</p><p>Data de início de recebimento de propostas: 22/09/2026, 08:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 06/10/2026, 10:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12064105000772026</p><p class="assina">HEBER DE SOUZA RICCO</p><p class="cargo">Ordenador de Despesas</p>;22/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=22/09/2026&jornal=530&pagina=14;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 139/2026 / Número do processo: 67436.013950/2024-31 / Objeto: Aquisição de equipamentos, mobiliário e materiais de saúde para a Unidade de Terapia Intensiva (UTI) do Hospital de Aeronáutica de Manaus (HAMN).</p><p>Data de início de recebimento de propostas: 22/09/2026, 10:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 02/10/2026, 10:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12063005001392026</p><p class="assina">SUSAN KELLY PRADO ANDRADE</p><p class="cargo">Agente de contratação</p>;22/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=22/09/2026&jornal=530&pagina=13;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 208/2026 / Número do processo: 67613.025949/2026-22 / Objeto: Aquisição de chaves de transferência estática, com serviço de instalação para unidades subordinadas ao CINDACTA II</p><p>Data de início de recebimento de propostas: 22/09/2026, 08:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 05/10/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12007205002082026</p><p class="assina">MARIANA BARBOSA VILAS BOAS</p><p class="cargo">p/ Equipe de apoio</p>;22/09/2026
