URL;Título;Resumo;Data
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=03/09/2026&jornal=530&pagina=13;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 209/2026 / Número do processo: 67613.045858/2025-22 / Objeto: Aquisição de Material Laboratorial</p><p>Data de início de recebimento de propostas: 03/09/2026, 08:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 21/09/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12007205002092026</p><p class="assina">MARIANA BARBOSA VILAS BOAS</p><p class="cargo">p/ Equipe de apoio</p>;03/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=03/09/2026&jornal=530&pagina=13;AVISO DE LICITAÇÃO;<p>Modalidade: Concorrência 56/2026 / Número do processo: 67272.002689/2026-25 / Objeto: Contratação de empresa especializada para a construção de edificacão técnica e instalação dos sistemas elétricos e hidráulicos com laudo hidrogeológico e limpeza e desinfecção dos poços e ponteiras com profundidade de até 60m, visando garantir o abastecimento contínuo e seguro para as instalações da Base Aérea de Florianópolis (BAFL).</p><p>Data de início de recebimento de propostas: 03/09/2026, 09:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 18/09/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12007303000562026</p><p class="assina">LUAN CARLOS BENDOTTI</p><p class="cargo">p/ Equipe de apoio</p>;03/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=03/09/2026&jornal=530&pagina=12;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 40/2026 / Número do processo: 67540.001626/2026-44 / Objeto: Aquisição de material permanente para refeitórios, copa e cozinha industrial</p><p>Data de início de recebimento de propostas: 03/09/2026, 09:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 16/09/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12006405000402026</p><p class="assina">THAIANNE DE OLIVEIRA ASSIS NOLASCO</p><p class="cargo">Pregoeiro</p>;03/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=03/09/2026&jornal=530&pagina=12;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 24/2026 / Número do processo: 67540.004657/2026-57 / Objeto: Aquisição de materiais odontológicos e peças para a Seção Odontológica do Grupo de Saúde de Guaratinguetá (GSAU-GW)</p><p>Data de início de recebimento de propostas: 03/09/2026, 09:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 17/09/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12006405000242026</p><p class="assina">THAIANNE DE OLIVEIRA ASSIS NOLASCO</p><p class="cargo">Pregoeiro</p>;03/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=03/09/2026&jornal=530&pagina=12;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 94/2026 / Número do processo: 67224.004691/2025-23 / Objeto: Prestação de serviços de conservação e limpeza para o GSAU-SV</p><p>Data de início de recebimento de propostas: 03/09/2026, 08:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 21/09/2026, 10:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12002305000942026</p><p class="assina">SAULO CALDAS DESOUZART</p><p class="cargo">Ordenador de Despesas</p>;03/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=03/09/2026&jornal=530&pagina=12;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 839/2026 / Número do processo: 67720.001880/2026-24 / Objeto: Contratação de serviços de lavanderia, incluindo recolhimento do material, lavagem, passadoria, empacotamento e entrega, conforme condições, quantidades e exigências estabelecidas no Edital e seus anexos.</p><p>Data de início de recebimento de propostas: 04/09/2026, 08:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 21/09/2026, 08:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12001605008392026</p><p class="assina">PLINIO SILVA DE FARIAS</p><p class="cargo">Agente de contratação</p>;03/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=03/09/2026&jornal=530&pagina=14;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 212/2026 / Número do processo: 67278.000012/2025-11 / Objeto: Aquisição de Material de consumo do Bloco Cirúrgico e Cirurgia Bariátrica, em proveito do Hospital de Aeronáutica de Canoas (HACO)</p><p>Data de início de recebimento de propostas: 03/09/2026, 09:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 16/09/2026, 09:10</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12062905002122026</p><p class="assina">FAGNER OLIVEIRA DA SILVA</p><p class="cargo">Agente de contratação</p>;03/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=03/09/2026&jornal=530&pagina=13;AVISO DE LICITAÇÃO;<p>O Centro de Aquisições Específicas (CAE) do Comando da Aeronáutica, CNPJ 00.394.429/0174-29, faz saber que venderá, através do leiloeiro público João Emilio de Oliveira Filho, matrícula JUCERJA nº 45, em leilões online a serem realizados no site www.joaoemilio.com.br, no dia 24/09/2026, com início às 10h para venda de veículos, viaturas e sucatas, chassi / REG FAB AKZ2897, APX1283, AQF1607, ATJ5I75, AWA7726, AWA7760, AWQ8I41, AYW5B96, BFG2180, BPJ8576, CDV1168, CDV1B94, CTK3G19, CZA1769, DJL1659, DJM0F44, DJM0F45, DJM0G15, DJM2C74, DJP0B87, DJP1J09, DJP5C22, DKI9975, DKI9J69, DMN4A57, EEF2C18, EEF3H87, EEF7I78, EEF8099, EZB4J81, FCA0975, FFA3165, FKE2I60, GMF5606, GMF5F60, GMF7288, GMF7853, GMF7E33, GMF7I54, GUP3552, GUW9J50, HFB1D66, HQH9297, HSH1093, HSH1316, HSH1624, HSH1728, HSH1740, HSH2069, HSH2079, HSH4970, HTO0219, HTO1768, HTO2048, HTO2078, HTO2156, HTO2744, ILU2499, IUE9H82, JFQ4285, JFQ5875, JGC5831, JHN9243, JID9939, JJE2587, JJE2747, JJL6588, JJL6608, JJL6618, JJV5151, JKK6278, JKP4810, JSH6408, KJJ7462, KJP9866, KKG9151, KOA8424, KOS1789, KPP2335, KPQ3852, KPR5139, KQJ2A26, KRO1908, KVB9739, KVM5353, KVM9J48, KWA9175, KWE7379, KWT3912, KXC5145, KXQ3654, KYH0425, LKT4408, LKW8087, LLG6707, LLI9788, LLM2326, LLM6686, LLN5507, LLN5655, LLN9459, LOY8253, LPJ3J97, LPL6741, LPM8G84, LPY5240, LQM1687, LQM9803, LQS4B69, LQV2861, LRL9489, LRO2271, LTH1207, LUZ4503, MYR2953, NNV4783, NNW4732, NQS8J15, NUX7193, NXV6245, NZK6373, OJS4744, OJS4794, OJS4824, OJS6654, OKB5065, OVQ5912, OVS8796, OWC1827, PAF3734, PEN6032, PEP5025, PET1734, PFW1C79, REC3G23, REC3G62, REG6A37, 00DE128, 07DE167, 10DE092, 10DE162, 11DE104, 13DE522, 13DE535, 14DE051, 14DE296, 18CE087, 19CE218, 19CE233, 23CE096, 72DE083, 87DE669, 97GE166 e 99DE127 e no dia 24/09/2026, com início às 13h para venda de materiais, eletrônicos, equipamentos e sucatas diversas, estando disponível edital e condições do leilão no site, no escritório do leiloeiro e afixados nas Unidades FAB envolvidas. Rio de Janeiro, 02/09/26. Centro de Aquisições Específicas (CAE)</p><p class="data">Rio de Janeiro - RJ, 2 de setembro de 2026.</p><p class="assina">ANDREI LECA BORGES Cel INT</p><p class="cargo">Ordenador de Despesas</p>;03/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=03/09/2026&jornal=530&pagina=14;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 306/2026 / Número do processo: 67267.003812/2026- 02 / Objeto: Cessão de Uso de Áreas para Prestação de Serviços de Apoio Projeto Facilitar</p><p>Data de início de recebimento de propostas: 03/09/2026, 08:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 18/09/2026, 10:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12063305003062026</p><p class="assina">JOESER SOARES DE CARVALHO</p><p class="cargo">Gestor de Licitações</p>;03/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=03/09/2026&jornal=530&pagina=12;AVISO DE LICITAÇÃO;<p>Nº PROCESSO: 67102.260131/2026-14 OBJETO: A presente licitação tem por objeto a Aquisição de veículo automotor, novo, destinado à Adidância Aeronáutica no Peru, para atendimento das necessidades operacionais, administrativas e institucionais da missão no exterior. EDITAL: disponível a partir de 03/09/2026, no sítio eletrônico da CABW, emhttps://www2.fab.mil.br/cabw/index.php/en/sealed-bids-cabw/929-electronic-auction-260131-cabw-2026 SESSÃO PÚBLICA: 17/09/2026, às 09h00min, horário da Costa Leste dos Estados Unidos (US-EST), por meio do Sistema COMPRAER, com suporte administrativo na Comissão Aeronáutica Brasileira em Washington (CABW), situada à 1701 22nd St. N.W., Washington, D.C. 20008, Estados Unidos da América.</p><p class="assina">Cel Av FÁBIO FERREIRA SILVA</p><p class="cargo">Chefe da CABW</p>;03/09/2026
