Termo de pesquisa,Unidade,Seção,URL,Título,Resumo,Data
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=03/08/2026&jornal=530&pagina=9,AVISO DE LICITAÇÃO,"<p>Objeto: AQUISIÇÃO DE PUBLICAÇÃO TÉCNICA PARA SUPORTE À MANUTENÇÃO DAS AERONAVES C-95 - Projeto A7</p><p>Total de itens licitados: 1</p><p>Edital: 03/08/2026 em horário comercial.</p><p>Endereço: BRAZILIAN AERONAUTICAL COMMISSION - 1701, 22ND STREET NW</p><p>ABERTURA: 17/08/2026</p><p>O edital estará disponível em https://www.fab.mil.br/CABW</p><p class=""assina"">FABIO FERREIRA SILVA</p><p class=""cargo"">Ordenador de Despesas</p>",03/08/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=03/08/2026&jornal=530&pagina=9,AVISO DE LICITAÇÃO,"<p>Objeto: Serviços de atualização de dados para auxílio à navegação aérea do projeto C-97 - Projeto A2</p><p>Total de itens licitados: 1</p><p>Edital: 03/08/2026 em horário comercial.</p><p>Endereço: BRAZILIAN AERONAUTICAL COMMISSION - 1701, 22ND STREET NW</p><p>ABERTURA: 17/08/2026</p><p>O edital estará disponível em https://www.fab.mil.br/CABW</p><p class=""assina"">FABIO FERREIRA SILVA</p><p class=""cargo"">Ordenador de Despesas</p>",03/08/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=03/08/2026&jornal=530&pagina=10,AVISO DE LICITAÇÃO,"<p>Modalidade: Concorrência 180/2026 / Número do processo: 67613.057334/2025-84 / Objeto: Contratação de serviço especial de engenharia de Reforma da Lavanderia do GSAU-CT para implantação das instalações do Centro de Atenção Integral à Saúde (CAIS)</p><p>Data de início de recebimento de propostas: 03/08/2026, 08:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 09/09/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12007203001802026</p><p class=""assina"">MARIANA BARBOSA VILAS BOAS</p><p class=""cargo"">p/ Equipe de apoio</p>",03/08/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=03/08/2026&jornal=530&pagina=10,AVISO DE LICITAÇÃO,"<p>Modalidade: Pregão 210/2026 / Número do processo: 67278.003575/2026-42 / Objeto: Registro de preços para eventual aquisição de itens padrão Projeto Repousar para a SHEE do Grupamento de apoio de Canoas (GAP-CO).</p><p>Data de início de recebimento de propostas: 03/08/2026, 08:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 13/08/2026, 09:10</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12062905002102026</p><p class=""assina"">FAGNER OLIVEIRA DA SILVA</p><p class=""cargo"">Agente de contratação</p>",03/08/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=03/08/2026&jornal=530&pagina=9,AVISO DE LICITAÇÃO,"<p>Modalidade: Pregão 66/2026 / Número do processo: 67293.005045/2025-60 / Objeto: Contratação de empresa especializada em serviços de limpeza e desinfecção de caixas d água e cisternas, por m³, poços artesianos e análise físico-química de água para consumo humano, por unidade, incluindo o fornecimento de mão de obra, materiais de consumo, insumos, equipamentos e maquinários necessários e adequados à execução dos serviços, destinados a atender à Guarnição de Aeronáutica de Porto Velho, conforme as condições e exigências estabelecidas neste instrumento.</p><p>Data de início de recebimento de propostas: 03/08/2026, 08:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 20/08/2026, 08:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12064105000662026</p><p class=""assina"">HEBER DE SOUZA RICCO</p><p class=""cargo"">Ordenador de Despesas</p>",03/08/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=03/08/2026&jornal=530&pagina=9,AVISO DE LICITAÇÃO,"<p>Objeto: AQUISIÇÃO DE ITENS PIROTÉCNICOS - Projeto PR - PIROTEC - PIROTÉCNICO</p><p>Total de itens licitados: 2</p><p>Edital: 03/08/2026 em horário comercial.</p><p>Endereço: BRAZILIAN AERONAUTICAL COMMISSION - 1701, 22ND STREET NW</p><p>ABERTURA: 24/08/2026</p><p>O edital estará disponível em https://www.fab.mil.br/CABW</p><p class=""assina"">FABIO FERREIRA SILVA</p><p class=""cargo"">Ordenador de Despesas</p>",03/08/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=03/08/2026&jornal=530&pagina=10,AVISO DE LICITAÇÃO,"<p>Nº PROCESSO: 67102.260219/2026-36 OBJETO: A presente licitação tem por objeto a contratação de empresa especializada para Fornecimento de licenciamento por assinatura, com disponibilização de 350 (trezentas e cinquenta) licenças por usuário identificado, pelo período de 12 (doze) meses. EDITAL: disponível a partir de 03/08/2026, no sítio eletrônico da CABW, em https://www2.fab.mil.br/cabw/index.php/en/sealed-bids-cabw/902-electronic-auction-260219-cabw-2026 SESSÃO PÚBLICA: 18/08/2026, às 09h00min, horário da Costa Leste dos Estados Unidos (US-EST), por meio do Sistema COMPRAER, com suporte administrativo na Comissão Aeronáutica Brasileira em Washington (CABW), situada à 1701 22nd St. N.W., Washington, D.C. 20008, Estados Unidos da América.</p><p class=""assina"">FÁBIO FERREIRA SILVA CEL AV</p><p class=""cargo"">Chefe da CABW</p>",03/08/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=03/08/2026&jornal=530&pagina=9,AVISO DE LICITAÇÃO,"<p>Modalidade: Pregão 44/2026 / Número do processo: 67293.005326/2026-01 / Objeto: Prestação de serviços de controle sanitário integrado no combate a pragas e vetores urbanos, englobando: desratização, desinsetização, descupinização, controle de moscas, controle de formigas,desalojamento de pombos, morcegos e afins na BAPV e Unidades Sediadas.</p><p>Data de início de recebimento de propostas: 03/08/2026, 08:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 17/08/2026, 08:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12064105000442026</p><p class=""assina"">HEBER DE SOUZA RICCO</p><p class=""cargo"">Ordenador de Despesas</p>",03/08/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=03/08/2026&jornal=530&pagina=9,AVISO DE PENALIDADE,"<p>A Base Aérea de Natal (BANT), diante das informações que instruem os autos do Processo n° 04/BANT/2026, e pelo fato de a empresa encontrar-se em local incerto e não sabido, NOTIFICA a empresa LICIT LATARO LIMITADA, CNPJ n° 56.955.436/0001-99, para querendo, apresentar defesa prévia ao Ofício n° 27/ARC/9904, de 1° de julho de 2026, quanto a notificação de imposição de sanção administrativa. As alegações devem ser encaminhadas pelo responsável ou procurador/representante legal, por escrito e assinada, acompanhada de todas as provas admitidas em direito, no prazo de 15 (quinze) dias úteis, a contar da data da publicação desta notificação dirigida à Ordenadora de Despesas da Base Aérea de Natal (BANT), Sra. SILVIA NATÁLIA SOARES MENEZES DA SILVA, Coronel Intendente, no endereço: Rua do Especialista, s/n, Emaús, Parnamirim/RN, CEP: 59.148-900, ou ainda pelo endereço eletrônico arc.bant@fab.mil.br, garantindo o contraditório e ampla defesa, haja vista a possível aplicação das penalidades administrativas que o caso requer.</p><p class=""assina"">Cel Int SILVIA NATÁLIA SOARES MENEZES DA SILVA</p><p class=""cargo"">Ordenadora de Despesas</p>",03/08/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=03/08/2026&jornal=530&pagina=9,AVISO DE PENALIDADE,"<p>A Base Aérea de Natal (BANT), diante das informações que instruem os autos do Processo n° 03/BANT/2026, e pelo fato de a empresa encontrar-se em local incerto e não sabido, NOTIFICA a empresa GRUPO LATARO LTDA, CNPJ n° 23.922.567/0001-10, para querendo, apresentar defesa prévia ao Ofício n° 29/ARC/9914, de 1° de julho de 2026, quanto a notificação de imposição de sanção administrativa. As alegações devem ser encaminhadas pelo responsável ou procurador/representante legal, por escrito e assinada, acompanhada de todas as provas admitidas em direito, no prazo de 15 (quinze) dias úteis, a contar da data da publicação desta notificação dirigida à Ordenadora de Despesas da Base Aérea de Natal (BANT), Sra. SILVIA NATÁLIA SOARES MENEZES DA SILVA, Coronel Intendente, no endereço: Rua do Especialista, s/n, Emaús, Parnamirim/RN, CEP: 59.148-900, ou ainda pelo endereço eletrônico arc.bant@fab.mil.br, garantindo o contraditório e ampla defesa, haja vista a possível aplicação das penalidades administrativas que o caso requer.</p><p class=""assina"">Cel Int SILVIA NATÁLIA SOARES MENEZES DA SILVA</p><p class=""cargo"">Ordenadora de Despesas</p>",03/08/2026
