Termo de pesquisa,Unidade,Seção,URL,Título,Resumo,Data
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=05/08/2026&jornal=530&pagina=19,AVISO DE LICITAÇÃO,"<p>Modalidade: Pregão 84/2026 / Número do processo: 120016-84/2026 / Objeto: Aquisição de alimentos para animais</p><p>Data de início de recebimento de propostas: 05/08/2026, 09:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 18/08/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12001605000842026</p><p class=""assina"">ANA CLARA DE TOLEDO SILVA ANASTACIO</p><p class=""cargo"">Pregoeiro</p>",05/08/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=05/08/2026&jornal=530&pagina=20,AVISO DE LICITAÇÃO,"<p>Modalidade: Pregão 280/2026 / Número do processo: 67267.000485/2026-29 / Objeto: Contratação de serviço de instalação e remoção de aparelho de climatização</p><p>Data de início de recebimento de propostas: 05/08/2026, 10:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 19/08/2026, 10:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12063305002802026</p><p class=""assina"">JOESER SOARES DE CARVALHO</p><p class=""cargo"">Gestor de Licitações</p>",05/08/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=05/08/2026&jornal=530&pagina=21,AVISO DE LICITAÇÃO,"<p>REPUBLICAÇÃO. Nº Processo: DA-ADM-2026/00033.</p><p>Objeto: Contratação de empresa especializada em fornecimento e instalação de mobiliário para a sede da ALADA, pelo Sistema de Registro de Preços (SRP). Vigência: 12 (doze) meses. Total de itens a serem licitados: 33 itens. Edital: de 2ª a 5ª feira (dias úteis), das 9:30h às 12:00h e das 13:30h às 16:30h, e às sextas-feiras, das 8:30h às 12:00h. Endereço: Esplanada dos Ministérios, Bloco M - Anexo - 3º andar, Brasília, ou em https://www.gov.br/compras. Entrega das Propostas: a partir de 05/08/2026 às 09:00h, e abertura da Sessão Pública: 17/08/2026 às 09:00h, no site https://www.gov.br/compras. Informações Gerais: Conforme condições, quantidades e exigências previstas no Edital nº 05/2026 e respectivos anexos, também disponível no site https://www.alada.gov.br/licitacoes.</p><p class=""assina"">ALEXANDRE FALCONIERE DE TORRES</p><p class=""cargo"">Diretor de Administração</p>",05/08/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=05/08/2026&jornal=530&pagina=20,AVISO DE LICITAÇÃO,"<p>Modalidade: Pregão 36/2026 / Número do processo: 67272.008214/2025-61 / Objeto: Aquisição de materiais de refeitório, para aplicação nas atividades de subsistência da Base Aérea de Florianópolis, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.</p><p>Data de início de recebimento de propostas: 05/08/2026, 09:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 17/08/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12007305000362026</p><p class=""assina"">LUAN CARLOS BENDOTTI</p><p class=""cargo"">Agente de contratação</p>",05/08/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=05/08/2026&jornal=530&pagina=19,AVISO DE LICITAÇÃO,"<p>Modalidade: Pregão 18/2026 / Número do processo: 67273.005243/2026-42 / Objeto: AQUISIÇÃO DE MATERIAL PERMANENTE DO GSD</p><p>Data de início de recebimento de propostas: 05/08/2026, 08:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 14/09/2026, 09:30</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12064305000182026</p><p class=""assina"">THIAGO DE ANDRADE ALVES DO NASCIMENTO</p><p class=""cargo"">Agente de contratação</p>",05/08/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=05/08/2026&jornal=530&pagina=20,AVISO DE LICITAÇÃO,"<p>Modalidade: Pregão 153/2026 / Número do processo: 67532.002164/2026-81 / Objeto: contratação de empresa especializada na prestação de serviços de transporte aéreo de provas dos concursos gerenciados pelo Centro de Instrução e Adaptação da Aeronáutica CIAAR.</p><p>Data de início de recebimento de propostas: 05/08/2026, 08:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 19/08/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12063605001532026</p><p class=""assina"">RAFAEL DO CARMO DAMASCENO</p><p class=""cargo"">p/ Equipe de apoio</p>",05/08/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=05/08/2026&jornal=530&pagina=20,AVISO DE LICITAÇÃO,"<p>Processo: 67106.002644/2025-91.</p><p>Objeto: Aquisição de Materiais para UTI Neonatal e Pediatria Total de Itens Licitados: 206. Edital: 05/08/2026 das 08h00 as 12h00 e das 13h00 as 16h00. Endereço: Estr. do Galeão, 3.300 - Galeão Ilha do Governador, - Rio de Janeiro/RJ. Entrega das Propostas: a partir de 05/08/2026 as 08h00 no site www.gov.br/compras. Abertura das Propostas: 17/08/2026 as 08h00 no site www.gov.br/compras. Informações Gerais.</p><p class=""data"">Rio de Janeiro - RJ, 4 de agosto de 2026.</p><p class=""assina"">Cel INT ANDREI LECA BORGES</p><p class=""cargo"">Ordenador de Despesas</p>",05/08/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=05/08/2026&jornal=530&pagina=21,AVISO DE LICITAÇÃO,"<p>Modalidade: Pregão 162/2026 / Número do processo: 67564.003226/2026-03 / Objeto: Aquisição de aparelhos e equipamentos de comunicação, áudio e vídeo para o Grupamento de Apoio dos Afonsos e Unidades apoiadas.</p><p>Data de início de recebimento de propostas: 05/08/2026, 09:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 17/08/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12062305001622026</p><p class=""assina"">HORACIO FERNANDO PINTO</p><p class=""cargo"">Autoridade competente</p>",05/08/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=05/08/2026&jornal=530&pagina=20,AVISO DE LICITAÇÃO,"<p>Modalidade: Pregão 275/2026 / Número do processo: 67614.042756/2025-45 / Objeto: AQUISIÇÃO DE TINTAS, DILUENTES, DESENGRAXANTES, DESENGRIPANTES, REMOVEDORES DE FERRUGEM, REDUTORES DE ACABAMENTO, PARAFUSOS, CONEXÕES, LIXAS, PINCÉIS E ESTOPAS PARA MANUTENÇÃO DAS ESTRUTURAS METÁLICAS DO TERCEIRO CENTRO INTEGRADO DE DEFESA AÉREA E CONTROLE DE TRÁFEGO AÉREO (CINDACTA III)</p><p>Data de início de recebimento de propostas: 05/08/2026, 08:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 21/08/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12063205002752026</p><p class=""assina"">LISLAINE LINK</p><p class=""cargo"">Autoridade competente</p>",05/08/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=05/08/2026&jornal=530&pagina=19,AVISO DE LICITAÇÃO,"<p>Modalidade: Pregão 39/2026 / Número do processo: 67272.007088/2025-28 / Objeto: O objeto da presente licitação é a contratação de elevação da categoria da Carteira Nacional de Habilitação para ""D"", a fim de atender às necessidades da Base Aérea de Florianópolis.</p><p>Data de início de recebimento de propostas: 05/08/2026, 09:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 19/08/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12007305000392026</p><p class=""assina"">LUAN CARLOS BENDOTTI</p><p class=""cargo"">Agente de contratação</p>",05/08/2026
