URL;Título;Resumo;Data
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=02/09/2026&jornal=530&pagina=12;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 176/2026 / Número do processo: 67222.007305/2026-56 / Objeto: Entre os itens a serem adquiridos, destacam-se materiais voltados à identificação visual e fortalecimento da identidade institucional, à adequação das instalações ao padrão previsto no Projeto REPOUSAR, ao aprimoramento dos serviços de limpeza e conservação, bem como ao acolhimento e atendimento dos hóspedes e autoridades.</p><p>Data de início de recebimento de propostas: 02/09/2026, 08:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 15/09/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12063105001762026</p><p class="assina">SILVIA NATALIA SOARES MENEZES DA SILVA</p><p class="cargo">Ordernador de Despesas</p>;02/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=02/09/2026&jornal=530&pagina=14;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 243/2026 / Número do processo: 67278.003177/2026-26 / Objeto: Aquisição de material médico hospitalar fios de sutura cirúrgica, equipos gravitacionais, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.</p><p>Data de início de recebimento de propostas: 02/09/2026, 09:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 15/09/2026, 09:10</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12062905002432026</p><p class="assina">FAGNER OLIVEIRA DA SILVA</p><p class="cargo">Agente de contratação</p>;02/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=02/09/2026&jornal=530&pagina=12;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 73/2026 / Número do processo: 67222.006065/2026-72 / Objeto: Contratação de Serviço de Elevação de Categoria de CNH para a Base Aérea de Natal</p><p>Data de início de recebimento de propostas: 02/09/2026, 08:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 17/09/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12063105000732026</p><p class="assina">SILVIA NATALIA SOARES MENEZES DA SILVA</p><p class="cargo">Ordenadora de Despesas</p>;02/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=02/09/2026&jornal=530&pagina=12;AVISO DE LICITAÇÃO;<p>COMISSÃO AERONÁUTICA BRASILEIRA EM WASHINGTON</p><p>Objeto: Aquisição Produtos de Navegação, incluindo acesso a Base de Dados de Publicações Técnicas e Softwares de Navegação para auxílio à navegação aérea da frota de aeronaves. PJT-PU.</p><p>Total de itens licitados: 1</p><p>Edital: 02/09/2026 em horário comercial.</p><p>Endereço: BRAZILIAN AERONAUTICAL COMMISSION - 1701, 22ND STREET NW</p><p>ABERTURA: 23/09/2026</p><p>O edital estará disponível em https://www.fab.mil.br/CABW</p><p class="assina">FABIO FERREIRA SILVA</p><p class="cargo">Ordenador de Despesas</p>;02/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=02/09/2026&jornal=530&pagina=12;AVISO DE LICITAÇÃO;<p>COMISSÃO AERONÁUTICA BRASILEIRA EM WASHINGTON</p><p>Objeto: Publicações Técnicas para os Projetos A7, H3, T1, U8, T2</p><p>Total de itens licitados: 5</p><p>Edital: 02/09/2026 em horário comercial.</p><p>Endereço: BRAZILIAN AERONAUTICAL COMMISSION - 1701, 22ND STREET NW</p><p>ABERTURA: 23/09/2026</p><p>O edital estará disponível em https://www.fab.mil.br/CABW</p><p class="assina">FABIO FERREIRA SILVA</p><p class="cargo">Ordenador de Despesas</p>;02/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=02/09/2026&jornal=530&pagina=13;AVISO DE LICITAÇÃO;<p>COMISSÃO AERONÁUTICA BRASILEIRA EM WASHINGTON</p><p>Objeto: AQUISIÇÃO DE PUBLICAÇÃO TÉCNICA PARA SUPORTE À MANUTENÇÃO DO PROJETO SS</p><p>Total de itens licitados: 1</p><p>Edital: 02/09/2026 em horário comercial.</p><p>Endereço: BRAZILIAN AERONAUTICAL COMMISSION - 1701, 22ND STREET NW</p><p>ABERTURA: 23/09/2026</p><p>O edital estará disponível em https://www.fab.mil.br/CABW</p><p class="assina">FABIO FERREIRA SILVA</p><p class="cargo">Ordenador de Despesas</p>;02/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=02/09/2026&jornal=530&pagina=13;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 258/2026 / Número do processo: 67050.020078/2025-92 / Objeto: Contratação de serviços e aquisição de materiais necessários à readequação do Salão Nobre do Estado-Maior da Aeronáutica.</p><p>Data de início de recebimento de propostas: 02/09/2026, 09:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 17/09/2026, 10:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12000605002582026</p><p class="assina">ADRIANO MAIA RIBEIRO DE AZEVEDO</p><p class="cargo">Agente de contratação</p>;02/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=02/09/2026&jornal=530&pagina=14;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 356/2026 / Número do processo: 67260.000750/2026-39 / Objeto: Aquisição de materiais e equipamentos de segurança e vigilância para o Projeto SISI.</p><p>Data de início de recebimento de propostas: 02/09/2026, 08:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 15/09/2026, 10:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12063305003562026</p><p class="assina">JOESER SOARES DE CARVALHO</p><p class="cargo">Gestor de Licitações</p>;02/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=02/09/2026&jornal=530&pagina=14;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 168/2026 / Número do processo: 67107.001931/2026-55 / Objeto: Registro de Preços para contratação de serviços comuns de engenharia para manutenção e conservação dos telhados do Rancho e da Sede do GAP-GL, com fornecimento de materiais e de mão , em conformidade com as condições de obra especializada, sem dedicação exclusiva de mão de obra.</p><p>Data de início de recebimento de propostas: 02/09/2026, 09:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 17/09/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12064505001682026</p><p class="assina">DANIEL PAULO DE LIRA RIBEIRO</p><p class="cargo">Ordenador de Despesas</p>;02/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=02/09/2026&jornal=530&pagina=14;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 183/2026 / Número do processo: 67440.001660/2026-47 / Objeto: Aquisição de Medicamentos oncológicos para o Hospital de Força Aérea de Brasília HFAB</p><p>Data de início de recebimento de propostas: 02/09/2026, 09:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 15/09/2026, 10:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12062505001832026</p><p class="assina">ULISSES CRUZ DA COSTA</p><p class="cargo">Agente de contratação</p>;02/09/2026
