Termo de pesquisa,Unidade,Seção,URL,Título,Resumo,Data
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=06/08/2026&jornal=530&pagina=11,AVISO DE LICITAÇÃO,"<p>Modalidade: Pregão 216/2026 / Número do processo: 67278.003075/2026-19 / Objeto: Aquisição de materiais e medicamentos veterinários para atender ao Pelotão de Cães de Guerra (PCG) e equinos do Pelotão de Policia Montada (PPMont) do Esquadrão de Policia da Aeronáutica (EPA) do Grupo de Segurança e Defesa de Canoas (GSD-CO), responsáveis por operações de faro e de patrulha montada no âmbito da BACO, nos termos da tabela abaixo, conforme condições e exigências estabelecidas neste instrumento.</p><p>Data de início de recebimento de propostas: 06/08/2026, 09:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 18/08/2026, 09:10</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12062905002162026</p><p class=""assina"">FAGNER OLIVEIRA DA SILVA</p><p class=""cargo"">Agente de contratação</p>",06/08/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=06/08/2026&jornal=530&pagina=10,AVISO DE LICITAÇÃO,"<p>Modalidade: Pregão 47/2026 / Número do processo: 67101000118202618 / Objeto: Contratação de serviços continuados de suporte logístico para as aeronaves H-50 da Força Aérea Brasileira (FAB), compreendendo a aquisição de materiais aeronáuticos e a manutenção de itens reparáveis</p><p>Data de início de recebimento de propostas: 06/08/2026, 09:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 20/08/2026, 10:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12007105000472026</p><p class=""assina"">NAYRA OLIVEIRA SILVA</p><p class=""cargo"">Auxiliar da Seção de Procedimentos Licitatórios</p>",06/08/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=06/08/2026&jornal=530&pagina=10,AVISO DE LICITAÇÃO,"<p>Modalidade: Pregão 186/2026 / Número do processo: 67613.021851/2026-04 / Objeto: Contratação de empresa especializada para prestação de serviço de içamento de cargas, mediante disponibilização de guindaste autopropelido, operador habilitado, ajudante, Plano de Rigging, seguro e demais acessórios necessários, para retirada e reinstalação de 2 (duas) antenas e 1 (um) pedestal do Radar TA-10 do Destacamento de Controle do Espaço Aéreo de Foz do Iguaçu (DTCEA-FI)</p><p>Data de início de recebimento de propostas: 06/08/2026, 08:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 20/08/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12007205001862026</p><p class=""assina"">MARIANA BARBOSA VILAS BOAS</p><p class=""cargo"">p/ Equipe de apoio</p>",06/08/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=06/08/2026&jornal=530&pagina=10,AVISO DE LICITAÇÃO,"<p>Modalidade: Pregão 184/2026 / Número do processo: 67613.049513/2024-67 / Objeto: Contratação de serviços de Substituição do revestimento do piso da Seção de Odontologia</p><p>Data de início de recebimento de propostas: 06/08/2026, 08:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 20/08/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12007205001842026</p><p class=""assina"">MARIANA BARBOSA VILAS BOAS</p><p class=""cargo"">p/ Equipe de apoio</p>",06/08/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=06/08/2026&jornal=530&pagina=11,AVISO DE LICITAÇÃO,"<p>Modalidade: Pregão 152/2026 / Número do processo: 67532.005013/2025-02 / Objeto: Aquisição de equipamentos permanentes para o Grupo de Saúde de Lagoa Santa (GSAU-LS)</p><p>Data de início de recebimento de propostas: 06/08/2026, 08:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 18/08/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12063605001522026</p><p class=""assina"">TAIS REGINA DOS SANTOS PORTO</p><p class=""cargo"">p/ Equipe de apoio</p>",06/08/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=06/08/2026&jornal=530&pagina=11,AVISO DE LICITAÇÃO,"<p>Modalidade: Pregão 50/2026 / Número do processo: 67532.000649/2026-31 / Objeto: AQUISIÇÃO DE MATERIAL DESCARTÁVEL, ACONDICIONAMENTO E EMBALAGEM</p><p>Data de início de recebimento de propostas: 06/08/2026, 08:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 18/08/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12063605000502026</p><p class=""assina"">RAFAEL DO CARMO DAMASCENO</p><p class=""cargo"">p/ Equipe de apoio</p>",06/08/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=06/08/2026&jornal=530&pagina=11,AVISO DE LICITAÇÃO,"<p>Modalidade: Pregão 187/2026 / Número do processo: 67616.000630/2026-64 / Objeto: Contratação do Serviço de Manutenção da Pavimentação Asfáltica das Vilas Militares da Guarnição de Aeronáutica de Curitiba</p><p>Data de início de recebimento de propostas: 06/08/2026, 08:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 20/08/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12007205001872026</p><p class=""assina"">MARIANA BARBOSA VILAS BOAS</p><p class=""cargo"">p/ Equipe de apoio</p>",06/08/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=06/08/2026&jornal=530&pagina=10,AVISO DE LICITAÇÃO,"<p>Modalidade: Pregão 155/2026 / Número do processo: 67710.004260/2026-66 / Objeto: Aquisição de Proteínas na classificação de carne suína, pescados e mariscos</p><p>Data de início de recebimento de propostas: 06/08/2026, 10:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 24/08/2026, 10:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12001305001552026</p><p class=""assina"">IRANEUDE DA SILVA MORAIS</p><p class=""cargo"">Membro da comissão de contratação</p>",06/08/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=06/08/2026&jornal=530&pagina=11,AVISO DE LICITAÇÃO,"<p>Modalidade: Pregão 292/2026 / Número do processo: 67260.000326/2026-94 / Objeto: Serviço de elaboração de projeto executivo e implantação de usina fotovoltaica</p><p>Data de início de recebimento de propostas: 06/08/2026, 10:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 20/08/2026, 10:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12063305002922026</p><p class=""assina"">JOESER SOARES DE CARVALHO</p><p class=""cargo"">Gestor de Licitações</p>",06/08/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=06/08/2026&jornal=530&pagina=10,EDITAL DE NOTIFICAÇÃO,"<p>O DEPARTAMENTO DE CONTROLE DO ESPAÇO AÉREO (DECEA), no uso da competência que lhe confere o inciso VIII do art. 4° do ROCA 20-7 ""Regulamento do DECEA"", aprovado pela Portaria n° 1.668/GC3, de 16 de setembro de 2013, considerando o disposto nos artigos 8° e 9° da Lei n° 6.009/73, combinado com o parágrafo 4° do artigo 14, da Lei n° 7.565/86 - Código Brasileiro de Aeronáutica, combinado com o parágrafo único, incisos V e X, do artigo 2°, inciso II do artigo 3°, parágrafo 4° do artigo 26, artigo 28 e o artigo 66 da Lei n° 9.784/99, combinado com o inciso IV do artigo 8° da Lei n° 6.830/80, considerando ainda que a Empresa Brasileira de Correios e Telégrafos - ECT, devolveu a notificação de inadimplência encaminhada para o endereço declarado por parte da Empresa/Proprietário/Explorador ou Operador, no processo administrativo de cobrança de Tarifas de Navegação Aérea, não comprovando assim a entrega ao efetivo destinatário, resolve:</p><p>NOTIFICAR os proprietários, exploradores ou operadores de aeronaves constantes da relação abaixo especificada para que no prazo de 10 (dez) dias, a contar da data da publicação deste EDITAL, efetuem a quitação do débito referente ao não pagamento das Tarifas de Navegação Aérea ou apresentem defesa administrativa, sob pena de aplicação de sanções administrativas, sem prejuízo do possível lançamento em dívida ativa da União, bem como a efetiva execução fiscal</p><p>Caso o valor apontado como inadimplido tenha sido quitado, deverá o proprietário, operador ou explorador da aeronave remeter o respectivo comprovante para efetiva baixa no apontamento.</p><p>Por fim, informa que o endereço eletrônico: https://servicos2.decea.mil.br/sac/index.cfm?a=tarifas está disponível para a solicitação das GRU/Faturas que viabilizarão o pagamento da dívida, bem como para apresentação de defesa administrativa.</p><p>Relação de Proprietários, exploradores ou operadores de aeronaves:</p><p></p><p></p><table><tr><td colspan=""1"" rowspan=""1""><p>PROCESSO Nº</p></td><td colspan=""1"" rowspan=""1""><p>PROPRIETÁRIO/</p><p>OPERADOR</p></td><td colspan=""1"" rowspan=""1""><p>CPF/CNPJ</p></td><td colspan=""1"" rowspan=""1""><p>VALOR PRINCIPAL</p></td></tr><tr><td colspan=""1"" rowspan=""1""><p>S/NUP</p></td><td colspan=""1"" rowspan=""1""><p>RAYSA NASCENTE JORCELINO</p></td><td colspan=""1"" rowspan=""1""><p>XXX.XXX.471-00</p></td><td colspan=""1"" rowspan=""1""><p>R$ 387,20</p></td></tr><tr><td colspan=""1"" rowspan=""1""><p>S/NUP</p></td><td colspan=""1"" rowspan=""1""><p>GERSON LUIZ COSTA</p></td><td colspan=""1"" rowspan=""1""><p>XXX.XXX.367-04</p></td><td colspan=""1"" rowspan=""1""><p>R$ 1.454,75</p></td></tr><tr><td colspan=""1"" rowspan=""1""><p>S/NUP</p></td><td colspan=""1"" rowspan=""1""><p>GILDEON DE OLIVEIRA SOUZA</p></td><td colspan=""1"" rowspan=""1""><p>XXX.XXX.825-72</p></td><td colspan=""1"" rowspan=""1""><p>R$ 3.680,12</p></td></tr><tr><td colspan=""1"" rowspan=""1""><p>4152/ATAN3RP/2026</p></td><td colspan=""1"" rowspan=""1""><p>ALIAR ADMINISTRADORA DE AERONAVES LTDA</p></td><td colspan=""1"" rowspan=""1""><p>37.994.725/0001-52</p></td><td colspan=""1"" rowspan=""1""><p>R$ 27.660,77</p></td></tr><tr><td colspan=""1"" rowspan=""1""><p>4160/ATAN3RP/2026</p></td><td colspan=""1"" rowspan=""1""><p>ADVENTURE COMERCIO LTDA</p></td><td colspan=""1"" rowspan=""1""><p>23.862.347/0001-49</p></td><td colspan=""1"" rowspan=""1""><p>R$ 3.633,70</p></td></tr><tr><td colspan=""1"" rowspan=""1""><p>4153/ATAN3RP/2026</p></td><td colspan=""1"" rowspan=""1""><p>CERQUEIRA LOG TRANPORTE &amp; LOGISTICA LTDA</p></td><td colspan=""1"" rowspan=""1""><p>67.061.842/0001-24</p></td><td colspan=""1"" rowspan=""1""><p>R$ 301,46</p></td></tr><tr><td colspan=""1"" rowspan=""1""><p>4155/ATAN3RP/2026</p></td><td colspan=""1"" rowspan=""1""><p>HAACKE EMPREENDIMENTOS IMOBILIÁRIOS LTDA</p></td><td colspan=""1"" rowspan=""1""><p>06.081.065/0001-95</p></td><td colspan=""1"" rowspan=""1""><p>R$ 322,61</p></td></tr><tr><td colspan=""1"" rowspan=""1""><p>4162/ATAN3RP/2026</p></td><td colspan=""1"" rowspan=""1""><p>KP ATIVA INTERMEDIACAO E EVENTOS LTDA</p></td><td colspan=""1"" rowspan=""1""><p>53.046.571/0001-23</p></td><td colspan=""1"" rowspan=""1""><p>R$ 11.111,55</p></td></tr><tr><td colspan=""1"" rowspan=""1""><p>4161/ATAN3RP/2026</p></td><td colspan=""1"" rowspan=""1""><p>SILVIO DONIZETE DE OLIVEIRA</p></td><td colspan=""1"" rowspan=""1""><p>XXX.XXX.946-91</p></td><td colspan=""1"" rowspan=""1""><p>R$ 1.454,75</p></td></tr></table><p>Ten Brig Ar SÉRGIO RODRIGUES PEREIRA BASTOS JÚNIOR</p><p class=""cargo"">Diretor-Geral do DECEA</p>",06/08/2026
