URL;Título;Resumo;Data
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=26/08/2026&jornal=530&pagina=17;AVISO DE HOMOLOGAÇÃO;<p>A BASE AÉREA DE SANTA CRUZ - BASC, torna público que, conforme Processo nº 67269.009118/2025-90, referente a Pregão Eletrônico nº 90001/BASC/2026, e nos termos da legislação vigente, foi homologada, no dia 26/06/2026, pelo Ordenador de Despesas, o Sr Tenente Coronel Intendente Kerley Furtado Araújo, a referida licitação, cujo objeto é aquisição de gêneros alimentícios - Estocáveis, como segue: AGUA MINERAL OASIS DA SAUDE LTDA, CNPJ: 09.176.323/0001-05, item 9, Valor total registrado: R$ 24.480,00\; AMIGOS CESTA BASICA-COMERCIO DE ALIMENTOS LTDA, CNPJ: 21.475.564/0001-50, itens 156 e 157, Valor total registrado: R$ 29.990,00\; C C S VALENTE COMERCIO DE GENEROS ALIMENTICIOS, CNPJ: 09.031.962/0001-82, itens 6,7, 8, 12, 16, 19, 20, 27, 28, 32, 37, 38, 49, 65, 76, 77, 78, 79, 80, 83, 84, 90, 92, 94, 101, 102, 105, 107, 116, 122, 127, 128, 129, 135 137, 139, 145, 148, 150, 161, 1165, 182, 185, 191, 192, 193, 194, 197, 207, 212, 213, 215, 216, 217, 221, 223, 225, 226, 227, 236, 237, 240, 249, 2511, 253, 255, 259, 260, 261, 262, 266, 267, 271, 272, 273, 278, 280, 283, 286, Valor total registrado: R$ 1.165.170,72\; CG COMERCIO ATACADISTA DE ALIMENTOS EM GERAL LTDA, CNPJ: 36.245.543/0001-16, itens 10, 25, 58, 87, 126, valor total registrado: R$ 82.342,00\; DORESTE CASA E CONSTRUCAO LTDA, CNPJ: 62.559.128/0001-47, item 263, valor total registrado: R$ 27.300,00\; FULL TECH RIO DISTRIBUIDORA LTDA, CNPJ: 55.536.182/0001-01, itens 11, 15, 21, 46, 103, 109, 133, 206, 219, 241, 265, 281, valor total registrado: R$ 172.530,80\; MAPIG SOLUCOES LTDA, CNPJ: 64.498.890/0001-96, itens 74, 75, valor total registrado: R$ 132.178,20\; MELHORATO COMERCIO DE PRODUTOS ALIMENTICIO LTDA, CNPJ: 64.535.659/0001-25, item 147,243, valor total registrado: R$ 47.028,00\; MULTIPLIQUE COMERCIO DE ALIMENTOS LTDA, CNPJ: 37.190.700/0001-04, item 34, 96, 98, 108, 130, 158, 172, 173, 184, 187, 202, 224, 256, valor total registrado: R$ 388.308,10\; NOVA FASE 2024 COMERCIO E SERVICOS LTDA, CNPJ: 56.604.357/0001-33, itens 64, 66, 67, 69, 89, valor total registrado: R$ 157.932,00\; ONE BOSS DISTRIBUIDORA DE ALIMENTOS LTDA, CNPJ: 48.817.203/0001-00, itens 2, 5, 18, 43, 45, 59, 71, 85, 88, 99, 106, 110, 111, 112, 115, 118, 119, 121, 124 ,136, 138, 140, 151, 153, 159, 164, 170, 171, 179, 181, 186, 188, 189, 190, 196, 209, 228, 229, 230, 245, 246, 269, 274, 285, valor total registrado: R$ 970.083,40\; PRIME RIO DISTRIBUIDORA DE PRODUTOS ALIMENTICIOS LTDA. CNPJ: 60.049.569/0001-73, itens 22, 30, 41, 42, 44, 48, 55, 61, 62, 63, 97, 131, 134, 141, 142, 144, 146, 149, 152, 160, 162, 183, 198, 199, 200, 0201, 204, 208, 242, 264, 279, 284, valor total registrado: R$ 772.345,44\; PROMOVE COMERCIO &amp\; SERVICOS DE NEGOCIOS EM GERAL LTDA, CNPJ: 47.594.523/0001-77, item 1, valor total registrado: R$ 3.164,00\; PROSADI COMERCIAL LTDA, CNPJ: 05.007.267/0001-24, item 125, valor total registrado: R$ 34.181,00\; SAMY CAPIXABA DISTRIBUIDORA LTDA, CNPJ: 04.779.843/0001-99, itens 3, 17, 26, 33, 35, 36, 39, 40, 47, 50, 51, 52, 53, 54, 56, 57, 60, 68, 70, 72, 73, 81, 82, 86, 91, 95, 100,0 104, 113, 114, 117, 120, 123, 132, 143, 154, 155, 163, 167, 168, 169, 174, 175, 176, 177, 178, 180, 195, 203, 205, 210, 211, 214, 220, 222, 231, 232, 233, 234, 235, 238, 239, 247, 252, 254, 257, 258, 268, 275, 276, 277, 282, valor total registrado: R$ 1.736.814,20\; SAP ALIANCA COMERCIO E SERVICOS LTDA, CNPJ: 45.935.785/0001-22, itens 4, 166, 242, 244, 250, valor total registrado: 326.709,00\; SERRA AZUL DISTRIBUIDORA DE BEBIDAS LTDA, CNPJ: 46.566.255/0001-17, itens 13 e 14, valor total registrado: R$ 246.330,00\; SOLAMARIS DO RIO FORNECEDORA DE FRUTAS E LEGUMES LTDA, CNPJ: 40.326.381/0001-18, itens 24, 29, 31, 218,270, valor total registrado: R$ 305.973,00.</p><p class="assina">KERLEY FURTADO ARAÚJO Ten Cel Int</p><p class="cargo">Ordenador de Despesas</p>;26/08/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=26/08/2026&jornal=530&pagina=17;AVISO DE HOMOLOGAÇÃO;<p>A BASE AÉREA DE SANTA CRUZ - BASC, torna público que, conforme Processo nº 67269.012266/2024-19, referente a Pregão Eletrônico nº 90002/BASC/2026, e nos termos da legislação vigente, foi homologada, no dia 01/02/2026, pelo Ordenador de Despesas, o Sr Tenente Coronel Intendente Kerley Furtado Araújo, a referida licitação, cujo objeto é Contratação de Treinamento de Veículo de Emergência, como segue: A G SOUSA LTDA, CNPJ: 40.116.288/0001-89, item 1, valor total registrado: R$ 12.600,00.</p><p class="assina">KERLEY FURTADO ARAÚJO Ten Cel Int</p><p class="cargo">Ordenador de Despesas</p>;26/08/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=26/08/2026&jornal=530&pagina=17;AVISO DE HOMOLOGAÇÃO;<p>A BASE AÉREA DE SANTA CRUZ - BASC, torna público que, conforme Processo nº 67269.004794/2025-19, referente a Pregão Eletrônico nº 90003/BASC/2026, e nos termos da legislação vigente, foi homologada, no dia 15/04/2026, pelo Ordenador de Despesas, o Sr Tenente Coronel Intendente Kerley Furtado Araújo, a referida licitação, cujo objeto é aquisição de material de ferramenta, como segue: 44.270.347 SUELEN LOPES DOS SANTOS, CNPJ: 44.270.347/0001-20, item 48, valor total registrado: R$ 1.493,50\; 59.113.312 MARCELO MOREIRA GOMES, CNPJ: 59.113.312/0001-54, item 11, valor total registrado: R$ 4.800,00\; ALFA CONSTRUTORA LTDA, CNPJ: 59.903.006/0001-11, itens 67 e 68, valor total registrado: R$ 63.132,00\; AMILTON GUIMARAES E CIA LTDA, CNPJ: 71.511.349/0001-36, item 19, valor total registrado: R$ 575,00\; DANJAC DISTRIBUIDORA LTDA, CNPJ: 01.521.643/0001-43, item 9, valor total registrado: R$ 2.820,00\; FERGAVI COMERCIAL LTDA, CNPJ: 14.968.227/0001-30, item 13, 21, 22, 25, 29, 33, 35, 51, 56, valor total registrado: R$ 4.610,45\; FERRAMENTAS E PNEUMATICOS 1001 LTDA, itens 31 e 69, valor total registrado: R$ 2.365,00\; GGV COMERCIAL LTDA, CNPJ: 35.236.131/0001-57, itens 6, 15, 16, 24, 28, 30, 36, 37, 38, 45, 47, 52, 53, 55, 57, 58, 59, 62, 63, 64, 72, 73, 74, 75, valor total registrado: R$ 19.041,49\; KMG COMERCIO E SERVICOS LTDA, CNPJ: 42.247.737/0001-53, itens 14, 23, 43, 54, valor total registrado: R$ 1.913,00\; L CORREA MENDES, CNPJ: 37.000.228/0001-91, item 1, valor total registrado: R$ 1.988,00\; MAX QUALITY COMERCIO LTDA, CNPJ: 42.810.782/0001-74, item 70, valor total registrado: R$ 8.058,00\; MV COMERCIO DE UTILIDADES &amp\; VARIEDADES LTDA, CNPJ: 29.681.868/0001-86, item 3, 8, 20, 26, 34, 39, valor total registrado: R$ 7.639,55\; PRINCESS SOLUCOES EM SERVICOS E COMERCIO LTDA, CNPJ: 49.935.709/0001-78, itens 5, 7, 49, valor total registrado: R$ 1.827,95\; RJ COMERCIO E SERVICOS GERAIS LTDA, CNPJ: 11.819.860/0001-78, itens 10, 27, 32,, 41, 42, 44, 65, valor total registrado: R$ 7.436,50\; SEMENTE SOLUCOES INTEGRADAS LTDA, CNPJ: 62.201.628/0001-02, itens 2, 12, 50, 61, 76, valor total registrado: R$ 12.860,00\; TRIUNFAL MAQUINAS E FERRAMENTAS LTDA, CNPJ: 48.754.707/0001-10, itens 17, 18, 46, valor total do item: R$ 4.594,85\; VENUZTECH SISTEMAS DE MEDICAO E CONTROLE LTDA, CNPJ: 27.586.396/0001-57, item 60, valor total registrado: R$ 7.000,00.</p><p class="assina">KERLEY FURTADO ARAÚJO Ten Cel Int</p><p class="cargo">Ordenador de Despesas</p>;26/08/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=26/08/2026&jornal=530&pagina=17;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 38/2026 / Número do processo: 67273.003267/2026-67 / Objeto: AQUISIÇÃO DE GÊNEROS DE PADARIA- REPUBLICAÇÃO</p><p>Data de início de recebimento de propostas: 26/08/2026, 08:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 19/10/2026, 09:30</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12064305000382026</p><p class="assina">THIAGO DE ANDRADE ALVES DO NASCIMENTO</p><p class="cargo">Agente de contratação</p>;26/08/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=26/08/2026&jornal=530&pagina=18;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 29/2026 / Número do processo: 67540.004367/2026-11 / Objeto: Aquisição de materiais de consumo para a Subdivisão de Tecnologia da Informação e Comunicações (SDTIC)</p><p>Data de início de recebimento de propostas: 26/08/2026, 09:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 08/09/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12006405000292026</p><p class="assina">THAIANNE DE OLIVEIRA ASSIS NOLASCO</p><p class="cargo">Pregoeiro</p>;26/08/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=26/08/2026&jornal=530&pagina=19;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 185/2026 / Número do processo: 67278.003506/2026-39 / Objeto: Contratação de empresa especializada para a execução de serviços comuns de engenharia, visando o manejo arbóreo nas áreas das vilas militares sob a jurisdição da Prefeitura de Aeronáutica de Canoas (PACO), sem dedicação exclusiva de mão de obra.</p><p>Data de início de recebimento de propostas: 26/08/2026, 09:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 10/09/2026, 09:10</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12062905001852026</p><p class="assina">FAGNER OLIVEIRA DA SILVA</p><p class="cargo">Agente de contratação</p>;26/08/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=26/08/2026&jornal=530&pagina=18;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 74/2026 / Número do processo: 67106.004218/2026-73 / Objeto: Aquisição de materiais de consumo e equipamentos para a Seção de Sistemas Elétricos (TEEL) do Parque de Material de Eletrônica da Aeronáutica do Rio de Janeiro (PAME-RJ).</p><p>Data de início de recebimento de propostas: 26/08/2026, 09:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 09/09/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12019505000742026</p><p class="assina">DELEANE COSTA ALMEIDA</p><p class="cargo">p/ Equipe de apoio</p>;26/08/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=26/08/2026&jornal=530&pagina=18;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 225/2026 / Número do processo: 67106.005144/2026-92 / Objeto: Aquisição de instrumentais e utensílios hospitalares para atendimento da área de oftalmologia do Hospital Central da Aeronáutica</p><p>Data de início de recebimento de propostas: 26/08/2026, 09:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 08/09/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12019505002252026</p><p class="assina">ANDRESSA CAROLINE MARTINS BUARQUE</p><p class="cargo">p/ Equipe de apoio</p>;26/08/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=26/08/2026&jornal=530&pagina=18;EDITAL DE NOTIFICAÇÃO;<p>A Encarregada do IPM do Inquerito Policial Militar nº R-5/AJUR, de 06 de Julho de 2026 da Base de Recepçao de Veteranos (BREVET) NOTIFICA, pelo presente Edital, os Senhores relacionados abaixo, por tentar notifica-los, via correios, sem retorno de aviso de recebimento, intimando-os a comparecer no prazo de 3 (três) dias uteis da publicaçao deste edital a sede desta Base, situada a Avenida Marechal Fontenelle, n 1000, Campo dos Afonsos, Rio de Janeiro/RJ, CEP: 21740-002.</p><p>Sra ILMA GARCIA DA COSTA</p><p>Sr DENILSON CORNÉLIO DOS SANTOS</p><p>Sr PAULO FONTES DE SALLES</p><p>Sr DOUGLAS CARRERA RODRIGUES</p><p class="assina">LEANDRO SILVESTRE AUGUSTO ROCHA Cel Int</p><p class="cargo">Diretor</p>;26/08/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=26/08/2026&jornal=530&pagina=19;EXTRATO DE CONTRATO Nº 33/GAPDF-CPBV/2026 - UASG 120625;<p>Nº Processo: 67287.002374/2025-38. Pregão Nº 90125/2025. Contratante: GRUPAMENTO DE APOIO DO DISTRITO FEDERAL. Contratado: 30.532.545/0001-00 - BV MOTA SERVICOS. Objeto: O objeto do presente instrumento é a contratação de empresa especializada para execução dos serviços comuns de engenharia, na área de hidrologia, relacionado à aquisição, instalação e monitoramento de estação hidrológica na central geradora hidrelétrica (CGH) Brigadeiro Velloso III, nas condições estabelecidas no termo de referência. Fundamento Legal: LEI 14.133/2021. Vigência: 18/08/2026 a 18/08/2027. Valor Total: R$ 120.743,66. Data de Assinatura: 18/08/2026.</p><p>(COMPRASNET 4.0 - 25/08/2026).</p>;26/08/2026
