URL;Título;Resumo;Data
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=18/08/2026&jornal=530&pagina=16;AVISO DE HOMOLOGAÇÃO;<p>Nº PROCESSO: 67102.260050/2026-14</p><p>Ao analisar os procedimentos administrativos realizados pela Comissão Aeronáutica Brasileira em Washington, no processo referenciado, cujo objeto é a escolha da proposta mais vantajosa para a Contratação de empresa especializada para a prestação integrada de serviços contínuos de limpeza predial (commercial janitorial services) e de manutenção predial preventiva mensal de sistemas críticos (elevador e HVAC), bem como manutenção corretiva sob demanda, nas instalações da Comissão Aeronáutica Brasileira em Washington (CABW), localizadas em Washington, D.C., e em Temple Hills, Maryland - Estados Unidos da América, conforme especificações, condições e exigências estabelecidas no Termo de Referência, neste Edital e seus anexos, em conformidade com a Portaria GM-MD nº 5.175, de 2021, resolvo: Homologar o objeto da presente licitação em favor da empresa MILCLEAN USA LLC, no valor total de US$ 152,570.36.</p><p class="assina">Fábio Ferreira Silva Cel Av</p><p class="cargo">Ordenador de Despesa</p>;18/08/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=18/08/2026&jornal=530&pagina=16;AVISO DE HOMOLOGAÇÃO;<p>Nº PROCESSO: 67102.260152/2026-30</p><p>Ao analisar os procedimentos administrativos realizados pela Comissão Aeronáutica Brasileira em Washington, no processo referenciado, cujo objeto é a escolha da proposta mais vantajosa para a contratação de empresa especializada para a prestação de serviços de cessão/locação de 128 (cento e vinte e oito) horas de simulador de voo do tipo Full Flight Simulator (FFS) Nível D, para a aeronave Hawker 800XP equipada com aviônica Collins Pro Line 21, na modalidade DRY, sem fornecimento de instrutor pela contratada, para treinamento e manutenção da proficiência operacional das tripulações do Grupo Especial de Inspeção em Voo (GEIV), conforme condições, quantidades e exigências estabelecidas no Edital, no Termo de Referência e em seus anexos, em conformidade com a Portaria GM-MD nº 5.175, de 2021, resolvo: Homologar o objeto da presente licitação em favor da empresa FLIGHTSAFETY INTERNATIONAL, no valor total de US$ 101,120.00.</p><p class="assina">Fábio Ferreira Silva Cel Av</p><p class="cargo">Ordenador de Despesa</p>;18/08/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=18/08/2026&jornal=530&pagina=16;AVISO DE HOMOLOGAÇÃO;<p>Nº PROCESSO: 67102.260160/2026-86</p><p>Ao analisar os procedimentos administrativos realizados pela Comissão Aeronáutica Brasileira em Washington, no processo referenciado, cujo objeto é a contratação de empresa especializada em serviços de cobertura de Seguro Saúde corporativo, com Organização de Prestadores Preferenciais - Preferred Provider Organization - PPO - ou rede equivalente compatível com o mercado norte-americano, em regime de coparticipação/co-pagamento, com cobertura global, para atender militares e civis em missão ou em curso nos Estados Unidos da América, com tempo de duração superior a 1 (um) ano, bem como Auxiliares Locais da CABW e da Adidância de Defesa e Aeronáutica nos Estados Unidos, incluindo respectivos dependentes elegíveis, conforme condições, quantidades e exigências estabelecidas no Edital, no Termo de Referência e em seus anexos, em conformidade com a Portaria GM-MD nº 5.175, de 2021, resolvo: Homologar o objeto da presente licitação em favor da empresa FRONTPOINT GROUP,INC,, no valor total de US$ 2,176,829.98.</p><p class="assina">Fábio Ferreira Silva Cel Av</p><p class="cargo">Ordenador de Despesa</p>;18/08/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=18/08/2026&jornal=530&pagina=19;AVISO DE HOMOLOGAÇÃO E ADJUDICAÇÃO;<p>A Comissão Permanente de Licitações torna pública aos interessados a homologação do processo nº 67278.000540/2026-51 e adjudicação dos itens às empresas vencedoras, conforme segue: COOPERATIVA DOS SUINOCULTORES DO CAÍ SUPERIOR LTDA - CNPJ: 91.360.429/0001-34 (itens 15, 16, 17 e 19) e COOPERATIVA CENTRAL AURORA ALIMENTOS - CNPJ: 83.310.441/0062-39 (item 20) e CENTRAL METROPOLITANA DE COOPERATIVAS DA AGRICULTURA FAMILIAR - CNPJ: 30.963.826/0001-17 (itens 1, 3, 8, 10, 11, 12, 13 e 18).</p><p class="assina">KESIA GUEDES ARRAES GOMES Ten Cel Int</p><p class="cargo">Ordenadora de Despesas</p>;18/08/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=18/08/2026&jornal=530&pagina=18;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 173/2026 / Número do processo: 67201.005591/2025-82 / Objeto: Contratação de aquisição e instalação do sistema de visualização profissional de imagens (videowall) para a Sala de Operações e Sala de Decisão da Divisão de Operações Correntes (DIVOC) do Comando de Operações Aeroespaciais (COMAE)</p><p>Data de início de recebimento de propostas: 18/08/2026, 09:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 01/09/2026, 10:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12062505001732026</p><p class="assina">ULISSES CRUZ DA COSTA</p><p class="cargo">Responsável pela contratação direta</p>;18/08/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=18/08/2026&jornal=530&pagina=15;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 111/2026 / Número do processo: 67703.0004762026-41 / Objeto: Ata de Registro de Preço para Aquisição de Material Técnico para Atualização dos Meios Operacionais do CLBI</p><p>Data de início de recebimento de propostas: 18/08/2026, 08:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 31/08/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12063105001112026</p><p class="assina">SILVIA NATALIA SOARES MENEZES DA SILVA</p><p class="cargo">Ordenadora de Despesas</p>;18/08/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=18/08/2026&jornal=530&pagina=16;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 69/2026 / Número do processo: 67293.006636/2026-35 / Objeto: Aquisição de equipamentos, acessórios e Instrumentos musicais eletrônicos.</p><p>Data de início de recebimento de propostas: 18/08/2026, 08:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 31/08/2026, 08:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12064105000692026</p><p class="assina">HEBER DE SOUZA RICCO</p><p class="cargo">Ordenador de Despesas</p>;18/08/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=18/08/2026&jornal=530&pagina=18;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 166/2026 / Número do processo: 67289.001619/2026-71 / Objeto: Aquisição de Gêneros Alimentícios - Carnes Suínas e Peixes</p><p>Data de início de recebimento de propostas: 18/08/2026, 09:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 28/08/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12062505001662026</p><p class="assina">ULISSES CRUZ DA COSTA</p><p class="cargo">Responsável pela contratação direta</p>;18/08/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=18/08/2026&jornal=530&pagina=18;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 73/2026 / Número do processo: 67532.000273/2026-64 / Objeto: Aquisição de Materiais Odontológicos - Cirurgia e Periodontia</p><p>Data de início de recebimento de propostas: 18/08/2026, 08:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 31/08/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12063605000732026</p><p class="assina">TAIS REGINA DOS SANTOS PORTO</p><p class="cargo">p/ Equipe de apoio</p>;18/08/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=18/08/2026&jornal=530&pagina=18;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 162/2026 / Número do processo: 67289.004247/2025-53 / Objeto: Contratação de curso de formação de condutores e mudança de categoria com todos os exames médicos pertinentes inclusive o exame toxicológico</p><p>Data de início de recebimento de propostas: 18/08/2026, 09:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 01/09/2026, 10:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12062505001622026</p><p class="assina">ULISSES CRUZ DA COSTA</p><p class="cargo">Responsável pela contratação direta</p>;18/08/2026
