URL;Título;Resumo;Data
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=25/09/2026&jornal=530&pagina=13;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 168/2026 / Número do processo: 67285.001039/2026-13 / Objeto: Contratação de serviços de confecção, instalação de toldos, utilizando a estrutura já existente na Prefeitura de Aeronáutica de Brasília</p><p>Data de início de recebimento de propostas: 25/09/2026, 09:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 09/10/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12062505001682026</p><p class="assina">ULISSES CRUZ DA COSTA</p><p class="cargo">Agente de contratação</p>;25/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=25/09/2026&jornal=530&pagina=11;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 81/2026 / Número do processo: 67621000303202633 / Objeto: Contratação de serviços de manutenção de áreas verdes do 1º/1º GCC</p><p>Data de início de recebimento de propostas: 25/09/2026, 10:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 09/10/2026, 10:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12066905000812026</p><p class="assina">KERLEY FURTADO ARAUJO</p><p class="cargo">Ordenador de Despesas</p>;25/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=25/09/2026&jornal=530&pagina=13;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 307/2026 / Número do processo: 67267.003240/2026-53 / Objeto: Aquisição de Gêneros Alimentícios do tipo Carnes Bovinas.</p><p>Data de início de recebimento de propostas: 25/09/2026, 08:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 08/10/2026, 10:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12063305003072026</p><p class="assina">JOESER SOARES DE CARVALHO</p><p class="cargo">Gestor de Licitações</p>;25/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=25/09/2026&jornal=530&pagina=11;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 265/2026 / Número do processo: 67281.002836/2026-58 / Objeto: Registro de preços para eventual aquisição de material de consumo e material permanente, a fim de atender as demandas da SCOAM na Base Aérea de Anápolis.</p><p>Data de início de recebimento de propostas: 25/09/2026, 09:30. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 08/10/2026, 09:30</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12062405002652026</p><p class="assina">LIGIA MARIA DE ALENCAR OLIVEIRA</p><p class="cargo">Ordenadora de Despesas</p>;25/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=25/09/2026&jornal=530&pagina=12;AVISO DE LICITAÇÃO;<p>Modalidade: Concorrência 218/2026 / Número do processo: 67613.057334/2025-84 / Objeto: Contratação de serviço especial de engenharia de Reforma da Lavanderia do GSAU-CT para implantação das instalações do Centro de Atenção Integral à Saúde (CAIS)</p><p>Data de início de recebimento de propostas: 25/09/2026, 08:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 04/11/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12007203002182026</p><p class="assina">MARIANA BARBOSA VILAS BOAS</p><p class="cargo">p/ Equipe de apoio</p>;25/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=25/09/2026&jornal=530&pagina=11;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 16/2026 / Número do processo: 67273.005806/2026-01 / Objeto: AQUISIÇÃO DE EQUIPAMENTOS DE PROTEÇÃO INDIVIDUAL PARA ATENDER ÀS NECESSIDADES DA GUARNAE-SM</p><p>Data de início de recebimento de propostas: 25/09/2026, 08:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 08/10/2026, 09:30</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12064305000162026</p><p class="assina">THIAGO DE ANDRADE ALVES DO NASCIMENTO</p><p class="cargo">Agente de contratação</p>;25/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=25/09/2026&jornal=530&pagina=13;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 259/2026 / Número do processo: 67615.028022/2026- 24 / Objeto: Contratação de Empresa para realização de manutenção preventiva da Estação de tratamento de Efluentes da sede (CINDACTA IV) e SIAT</p><p>Data de início de recebimento de propostas: 25/09/2026, 10:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 09/10/2026, 10:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12063005002592026</p><p class="assina">SUSAN KELLY PRADO ANDRADE</p><p class="cargo">AUTORIDADE COMPETENTE</p>;25/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=25/09/2026&jornal=530&pagina=13;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 270/2026 / Número do processo: 67296.000585/2025-27 / Objeto: Cessão de uso, a título oneroso, de áreas físicas localizadas nas dependências das Vilas Militares Ajuricaba, Aleixo e Rio Negro, com metragem aproximada de 14,77 m²</p><p>Data de início de recebimento de propostas: 25/09/2026, 10:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 09/10/2026, 10:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12063005002702026</p><p class="assina">SUSAN KELLY PRADO ANDRADE</p><p class="cargo">AUTORIDADE COMPETENTE</p>;25/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=25/09/2026&jornal=530&pagina=13;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 175/2026 / Número do processo: 67298.000043/2026-15 / Objeto: Processo licitatório para aquisição de material de Padaria.</p><p>Data de início de recebimento de propostas: 25/09/2026, 10:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 07/10/2026, 10:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12063005001752026</p><p class="assina">SUSAN KELLY PRADO ANDRADE</p><p class="cargo">AUTORIDADE COMPETENTE</p>;25/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=25/09/2026&jornal=530&pagina=12;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 33/2026 / Número do processo: 67540.002120/2026-52 / Objeto: Aquisição de mobiliário para atender às necessidades operacionais da GUARNAE-GW</p><p>Data de início de recebimento de propostas: 25/09/2026, 09:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 07/10/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12006405000332026</p><p class="assina">THAIANNE DE OLIVEIRA ASSIS NOLASCO</p><p class="cargo">Pregoeiro</p>;25/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=25/09/2026&jornal=530&pagina=13;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 228/2026 / Número do processo: 67107.001903/2025-57 / Objeto: Registro de preços para eventual contratação de empresa especializada em cursos de gastronomia, higiene e segurança alimentar, gastronomia hospitalar, panificação, dentre outros.</p><p>Data de início de recebimento de propostas: 25/09/2026, 09:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 09/10/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12064505002282026</p><p class="assina">DANIEL PAULO DE LIRA RIBEIRO</p><p class="cargo">Ordenador de Despesas</p>;25/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=25/09/2026&jornal=530&pagina=12;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 113/2026 / Número do processo: 67510.001745/2026-54 / Objeto: Aquisição de Licenças para Softwares</p><p>Data de início de recebimento de propostas: 25/09/2026, 08:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 07/10/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12006005001132026</p><p class="assina">WELLINGTON MARCELO FERNANDES</p><p class="cargo">Ordenador de Despesas Delegado da AFA</p>;25/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=25/09/2026&jornal=530&pagina=13;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 213/2027 / Número do processo: 67106.003579/2026-01 / Objeto: Aquisição via constituição de registro de preço, de padrões de referencia para a análise dos insumos e do produto final de 15 ,(quinze) lotes do medicamento Darunavir 600mg, 21 (vinte e um) lotes do medicamento Darunavir 800mg e 10 (dez) lotes de Isoniaziada 100mg e 4 (quatro) lotes de Iodeto de Potássio 130mg.</p><p>Data de início de recebimento de propostas: 25/09/2026, 09:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 07/10/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12019505002132027</p><p class="assina">ARYANA SODRE FONSECA</p><p class="cargo">p/ Equipe de apoio</p>;25/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=25/09/2026&jornal=530&pagina=13;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 58/2026 / Número do processo: 67292.010058/2025- 61 / Objeto: CONTRATAÇÃO DE SERVIÇOS DE MANUTENÇÃO DE EQUIPAMENTOS DO GLOG-MN</p><p>Data de início de recebimento de propostas: 25/09/2026, 10:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 09/10/2026, 10:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12063005000582026</p><p class="assina">SUSAN KELLY PRADO ANDRADE</p><p class="cargo">AUTORIDADE COMPETENTE</p>;25/09/2026
