URL;Título;Resumo;Data
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=31/08/2026&jornal=530&pagina=17;AVISO DE HOMOLOGAÇÃO;<p>A BASE AÉREA DE SANTA CRUZ - BASC, torna público que, conforme Processo nº 67269.004794/2025-19, referente a Pregão Eletrônico nº 90003/BASC/2026, e nos termos da legislação vigente, foi homologada, no dia 15/04/2026, pelo Ordenador de Despesas, o Sr Tenente Coronel Intendente Kerley Furtado Araújo, a referida licitação, cujo objeto é aquisição de material de ferramenta, como segue: ACK TELECOMUNICACOES LTDA, CNPJ: 24.818.861/0001-40, item 41, valor total registrado: R$ 8.760,00\; ASL COMERCIO E SERVICOS LTDA, CNPJ: 05.446.152/0001-36, item 20, valor total registrado: R$ 5.700,00\; CADENZZA LTDA, CNPJ: 55.827.550/0001-70, item 21, valor total registrado: R$ 742,50\; DIGITALHOUSE LTDA, CNPJ: 37.871.120/0001- 74, itens 35, 45, valor total registrado: R$ 6.786,40\; DM COMERCIAL IMPORTADORA E EXPORTADORA DE ARTIGOS DE ILUMINACAO LTDA, CNPJ: 30.866.576/0002-88, item 9, valor total registrado: R$ 296,70\; ELETROQUIP COMERCIO E LICITACOES LTDA, CNPJ: 05.854.663/0001-97, item 17, 31, valor total registrado: R$ 1.320,00\; ELITE SUL COMERCIO LTDA, itens 48, valor total registrado: R$ 19.120,00\; I.R. COMERCIO E MATERIAIS ELETRICOS LTDA, CNPJ: 33.149.502/0001-38, itens 3, valor total registrado: R$ 5.410,00\; JESSICA ALVES COMERCIAL LTDA, CNPJ: 54.517.369/0001-03, itens 49, valor total registrado: R$ 22.320,00\; JLC OREM COMERCIO E SERVICOS LTDA, CNPJ: 47.344.433/0001-28, item 33, valor total registrado: R$ 44.520,00\; KMG COMERCIO E SERVICOS LTDA, CNPJ: 42.247.737/0001-53, item 8, 11, 34, 43, 44, valor total registrado: R$ 7.017,00\; L2 - COMERCIO E SOLUCOES LTDA, CNPJ: 54.043.075/0001-89, item 36, valor total registrado: R$ 13.950\; LAA DA COSTA COMERCIO DE MATERIAIS, CNPJ: 45.382.048/0001-40, item 12, valor total registrado: R$ 10.400,00\; LICITA INFORMATICA LTDA, CNPJ: 56.607.352/0001-64, item 38, valor total registrado: R$ 22.750,00\; LICITA SHOP COMERCIO E SERVICOS LTDA, CNPJ: 50.958.011/0001-57, itens 2, 26, valor total registrado: R$ 533,00\; LUMOS CONSULTORIA E TECNOLOGIA LTDA, CNPJ: 51.382.835/0001-94, itens 4, 7, 13, valor total do item: R$ 2.370,20\; MAX QUALITY COMERCIO LTDA, CNPJ: 42.810.782/0001-74, item 1, 16, 18, valor total registrado: R$ 2.150,00\; PLAXIS INDUSTRIA E COMERCIO DE EQUIPAMENTOS TECNOLOGICOS LTDA, CNPJ: 30.670.371/0001-41, item 42, valor total registrado: R$ 2.197,00\; RJ COMERCIO E SERVICOS GERAIS LTDA, CNPJ: 11.819.860/0001-78, itens 25, 27, 29, 30, 39, 46, 47, valor total registrado: R$ 8.244,36.</p><p class="assina">KERLEY FURTADO ARAÚJO Ten Cel Int</p><p class="cargo">Ordenador de Despesas</p>;31/08/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=31/08/2026&jornal=530&pagina=18;AVISO DE HOMOLOGAÇÃO;<p>A BASE AÉREA DE SANTA CRUZ - BASC, torna público que, conforme Processo nº 67269.009533/2025-43, referente a Pregão Eletrônico nº 90010/BASC/2026, e nos termos da legislação vigente, foi homologada, no dia 03/07/2026, pelo Ordenador de Despesas, o Sr Tenente Coronel Intendente Kerley Furtado Araújo, a referida licitação, cujo objeto é Aquisição de Material Permanente de Informática para a BASC, como segue: CNPJ: 24.818.861/0001-40, ACK TELECOMUNICACOES LTDA, item 2, valor total registrado: R$ 1.200,00\; CNPJ: 32.005.178/0001-11, EMGESA EMPRESA DE GERENCIAMENTO DE SOBRESSALENTES E AUTOMACAO LTDA, item 11, valor total registrado: R$ 196,00\; CNPJ: 16.677.622/0001-99, ENOQUE INFORMATICA LTDA, item 14, valor total registrado: R$ 4.200,00\; CNPJ: 51.651.372/0001-19 , F A FLY UTILIDADES LTDA, item 8, valor total registrado: R$ 6.936,00\; CNPJ: 27.217.586/0001-05, GLOBAL BRASIL COMERCIAL LTDA, item 15, valor total registrado: R$ 44.900,00\; CNPJ: 10.402.061/0001-39, IRD PRODUTOS DE INFORMATICA LTDA, item 13, valor total registrado: R$ 13.940,00\; CNPJ: 49.300.396/0001-81 , LEIDE CRISTINA RODRIGUES DA ENCARNACAO, valor total registrado: R$ 35.381,00\; CNPJ: 30.110.694/0001-80 , LIFEBITS EQUIPAMENTOS E SERVICOS DE INFORMATICA LTDA, item 1, valor total registrado: R$ 12.000,00\; CNPJ: 17.215.437/0001-45 , NEP SOLUCOES E INFORMATICA - COMERCIO E SERVICOS LTDA,item 3 e 12, valor total registrado: R$ 5.445,00\; 57.601.436/0001-53, MAMUTH TECNOLOGIA DISTRIBUIDORA LTDA, item 16, valor total registrado: R$ 269,88.</p><p>.</p><p class="assina">KERLEY FURTADO ARAÚJO Ten Cel Int</p><p class="cargo">ORDENADOR DE DESPESAS</p>;31/08/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=31/08/2026&jornal=530&pagina=18;AVISO DE HOMOLOGAÇÃO;<p>A BASE AÉREA DE SANTA CRUZ - BASC, torna público que, conforme Processo nº 67269.001728/2026-26, referente a Pregão Eletrônico nº 90011/BASC/2026, e nos termos da legislação vigente, foi homologada, no dia 27/03/2026, pelo Ordenador de Despesas, o Sr Tenente Coronel Intendente Kerley Furtado Araújo, a referida licitação, cujo objeto é aquisição de material de alvenaria para o EIE, como segue: AGRA COMERCIO DE FERRAMENTAS LTDA, CNPJ: 10.463.704/0001-54, itens 18, 29, 42, valor total registrado: R$ 1.301,80\; ASL COMERCIO E SERVICOS LTDA, CNPJ: 05.446.152/0001-36, item 30, valor total registrado: R$ 79,50\; BLUE SKY TINTAS LTDA, CNPJ: 64.361.547/0001-03, item 19, valor total registrado: R$ 3.176,00\; BRASIDAS LTDA, CNPJ: 20.483.193/0001-96, itens 31, 33, 35, valor total registrado: R$ 4.298,58\; CT BIANCA PAZ LTDA, CNPJ: 33.496.591/0001- 99, item 4, 5, 9, valor total registrado: R$ 30.807,00\; DISTRIBUIDORA RAMALHO DE PRODUTOS EM GERAL LTDA, CNPJ: 50.213.589/0001-84, item 22, R$ 552,00\; F DE OLIVEIRA COMERCIO &amp\; SERVICOS LTDA, CNPJ: 58.596.803/0001-30, itens 6, 7, 8, 32, 47, 53, valor total registrado: R$ 58.748,00\; FERMETAL INDUSTRIA E COMERCIO DE ARAMES LTDA, CNPJ: 48.925.960/0001-99, itens 11, 12, valor total registrado: R$ 152.150,00\; IDA APARECIDA GUTIERREZ DOURADO, CNPJ: 08.640.642/0001-67, itens 27, 28, 36, valor total registrado: R$ 1.235,78\; LUANA CARNEIRO DA FONSECA, CNPJ: 62.812.148/0001-88, item 49, valor total registrado: R$ 37.674,00\; PUBLICIDADE PATRIOTA IMPRESSOS EM GERAL LTDA, CNPJ: 23.779.573/0001-60, itens 1, 2, 3, 10, 13, 14, 16, 17, 24, 25, 26, 34, 43, valor total registrado: R$ 252.750,80\; RARIDADE COMERCIO E SERVICO LTDA, CNPJ: 62.763.892/0001-30, itens 21, 23, 38, 40, 44, 50, 51, 52, valor total registrado: R$ 72.061,00\; RJ COMERCIO E SERVICOS GERAIS LTDA, CNPJ: 11.819.860/0001-78, itens 15, 20, 37, 39, 41,45, 46, 48, 54, valor total registrado: R$ 20.002,41.</p><p class="assina">KERLEY FURTADO ARAÚJO Ten Cel Int</p><p class="cargo">Ordenador de Despesas</p>;31/08/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=31/08/2026&jornal=530&pagina=17;AVISO DE HOMOLOGAÇÃO;<p>A BASE AÉREA DE SANTA CRUZ - BASC, torna público que, conforme Processo nº 67269.010633/2025-12, referente a Pregão Eletrônico nº 90006/BASC/2026, e nos termos da legislação vigente, foi homologada, no dia 16/03/2026, pelo Ordenador de Despesas, o Sr Tenente Coronel Intendente Kerley Furtado Araújo, a referida licitação, cujo objeto é aquisição de material de consumo para a SHEE, como segue: ACSUL COMERCIAL LTDA, CNPJ: 41.471.513/0001-68, item 2, 3, 4, 5, 7, 24, 25, 26, 27, 30, 32, 33, valor total registrado: R$ 140.301,00\; ALAIDE RAISI ZANOLLO, CNPJ: 08.944.032/0001-57, item 1, valor total registrado: R$ 8.994,00\; F A FLY UTILIDADES LTDA, CNPJ: 51.651.372/0001-19, item 9, 10, 11, 12, 34, valor total registrado: R$ 48.575,60\; KMG COMERCIO E SERVICOS LTDA, CNPJ: 42.247.737/0001-53, itens 22, 23, 29, valor total registrado: R$ 23.017,00\; L. DE NARDIN LTDA, CNPJ: 47.363.565/0001-05, item 20,21, valor total registrado: R$ 14.142,50\; LUTHOR COMERCIO LTDA, CNPJ: 48.040.995/0001-40, item 6, valor total registrado: R$ 12.375,00\; OFICINA TEXTIL LTDA, CNPJ: 43.273.828/0001-26 itens 31, valor total registrado: R$ 2.680,80\; R.R OZARA LTDA, CNPJ: 47.025.565/0001-97, itens 16, valor total registrado: R$ 3.000,00\; RICARDO MIGUEL GANIM, CNPJ: 24.820.417/0001-69, itens 28, valor total registrado: R$ 18.675,00\; SANTANA WERNECK COMERCIAL LTDA, CNPJ: 11.186.469/0001-83, item 17, valor total registrado: R$ 9.500,00\; SCAN LIFE COMERCIAL LTDA, CNPJ: 46.022.479/0001-68, item 8,13, 14, 15, 19, valor total registrado: R$ 55.073,10\; Y S DIAS COMERCIO DE PAPELARIA, CNPJ: 36.310.930/0001-99, item 18, valor total registrado: R$ 7.500,00.</p><p class="assina">KERLEY FURTADO ARAÚJO Ten Cel Int</p><p class="cargo">ORDENADOR DE DESPESAS</p>;31/08/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=31/08/2026&jornal=530&pagina=17;AVISO DE HOMOLOGAÇÃO;<p>A BASE AÉREA DE SANTA CRUZ - BASC, torna público que, conforme Processo nº 67269.008853/2025-86, referente a Pregão Eletrônico nº 90005/BASC/2026, e nos termos da legislação vigente, foi homologada, no dia 16/03/2026, pelo Ordenador de Despesas, o Sr Tenente Coronel Intendente Kerley Furtado Araújo, a referida licitação, cujo objeto é aquisição de material de ferramenta, como segue: ENOS ALVES VENTURA, CNPJ\; 43.465.793/0001-27, itens 5, 12, 22, 27, 28,29,31,42,47,51,72,73,74,75,76,77,78,80, valor total registrado: R$ 14.531,12\; A C P DA SILVA QUINOY COMERCIO E SERVICOS, CNPJ: 20.473.312/0001-20, itens 17,103,131,136, valor total registrado: R$ 13.674,60\; AGRA COMERCIO DE FERRAMENTAS LTDA, CNPJ: 10.463.704/0001-54, itens 59, 61 e 62, valor total registrado: R$ 1.117,90\; 48.994.421/0001-01, C A PRIMO GESTAO DE SOLUCOES, itens 117, 118,121 e 137, valor total registrado: R$ 9.944,80\; 10.942.831/0001-36, COMERCIAL VANGUARDEIRA LTDA, ITEM 46 E 127, valor total registrado: R$ 2.196,00\; 01.521.643/0001-43, DANJAC DISTRIBUIDORA LTDA, itens 2, 3, 7, 8, 9, 11, 23, 32, 33, 35, 36, 37, 38, 45, 49, 95, 96, 97, 104, 107, 111, 113, 116, 125, valor total registrado: R$ 70.962,80\; 24.090.700/0001-82, DMGR COMERCIO DE MAQUINAS E EQUIPAMENTOS INDUSTRIAIS LTDA, item 119 e 120, valor total registrado: R$ 8.940,00\; 42.247.737/0001-53, KMG COMERCIO E SERVICOS LTDA, ITEM 57, valor total registrado: R$ 550,00\; 22.965.625/0001-20, LABUTAR DISTRIBUIDORA E PRESTADORA DE SERVICO LTDA, ITENS 60, 98 e 99, valor total registrado: R$ 1.295,80\; 54.793.517/0001-04, MAX-FER TOOLS COMERCIAL LTDA, item 126, valor total registrado: R$ 1.674,00\; 46.901.623/0001-36, MINAS SUL COMERCIO AGRICOLA LTDA, item 110, valor total registrado: R$ 1.200,00\; 62.763.892/0001-30, RARIDADE COMERCIO E SERVICO LTDA, itens 56, 94, 102, 108 e 109, valor total registrado: R$ 52.993,00\; 28.148.886/0001-34, RB COMERCIO VAREJISTA EM MATERAIS LTDA, itens 4, 14, 15, 24, 30 e 64, valor total registrado: R$ 2.691,82\; 11.819.860/0001-78, RJ COMERCIO E SERVICOS GERAIS LTDA, itens 25, 53, 54, 63, 65, 66, 67, 68, 70, 71, 79, 85, 88, 91, 106, 122 e 138, valor total registrado: R$ 10.634,03\; 20.784.313/0001-95, RM COMERCIO DE MERCADORIAS E MATERIAIS LTDA, itens 1, 50, 105 e 135, valor total registrado: R$ 10.946,70\; 16.503.202/0001-96, SE7E COMERCIAL E SERVICOS LTDA, itens 52, 55, 81, 82, 86, 87, 100 e 112, valor total registrado: R$ 1.620,00\; 62.201.628/0001-02, SEMENTE SOLUCOES INTEGRADAS LTDA, itens 13, 26 e 129, valor total registrado: R$ 1.488,15\; 48.859.449/0001-36, SLLIMA COMERCIO E SERVICOS OFFSHORE LTDA, itens 48, 123 e 124, valor total registrado: R$ 5.559,00\; 51.659.136/0001-49, SOUL DISTRIBUIDORA DE PRODUTOS E EQUIPAMENTOS INDUSTRIAIS LTDA, valor total registrado: R$ 38.183,73.</p><p>.</p><p class="assina">KERLEY FURTADO ARAÚJO Ten Cel Int</p><p class="cargo">ORDENADOR DE DESPESAS</p>;31/08/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=31/08/2026&jornal=530&pagina=17;AVISO DE HOMOLOGAÇÃO;<p>A BASE AÉREA DE SANTA CRUZ - BASC, torna público que, conforme Processo nº 67269.008855/2025-75, referente a Pregão Eletrônico nº 90007/BASC/2026, e nos termos da legislação vigente, foi homologada, no dia 29/05/2026, pelo Ordenador de Despesas, o Sr Tenente Coronel Intendente Kerley Furtado Araújo, a referida licitação, cujo objeto é aquisição de material de Equipamento de Proteção Individual e Coletiva, como segue: 4.571.285 BARBARA TALLITA ALMEIDA COSTA SILVA, CNPJ: 54.571.285/0001-40, item 112, valor total registrado: R$ 1.040,00\; 42.338.388 CARLOS ANSELMO FONTANELLA, CNPJ: 42.338.388/0001-85, item 102, valor total registrado: R$ 730,00\; 57.156.070 MAIRLAN OLIVEIRA DO NASCIMENTO, CNPJ: 57.156.070/0001-50, item 53, valor total registrado: R$ 4.190,00\; A A COSTA CONSTRUCOES LTDA, CNPJ: 09.664.031/0001-11, itens 123, valor total registrado: R$ 210,00\; ALTITUDE COMERCIO DE EQUIPAMENTOS ESPORTIVOS LTDA, CNPJ: 11.456.144/0001-73, item 47, 50, 52, valor total registrado: R$ 7.023,85\; AMAN DISTRIBUIDORA LTDA, CNPJ: 56.040.654/0001-01, item 81, valor total registrado: R$ 2.350,80\; CABANA MAGAZINE LTDA, CNPJ: 51.621.518/0001-83, itens 139, 140, valor total registrado: R$ 1.587,25\; DANJAC DISTRIBUIDORA LTDA, CNPJ: 01.521.643/0001-43, itens 22, 133, 146, valor total registrado: R$ 6.050,00\; DOMINUS PRO COMERCIO DE PRODUTOS E SERVICOS LTDA, CNPJ: 62.296.904/0001-63, itens 89, valor total registrado: R$ 18.675,00\; FORTE SINAL EQUIPAMENTOS LTDA, CNPJ: 26.729.755/0001-15, item 10, valor total registrado: R$ 1.860,00\; JOB COMERCIO E REPRESENTACOES LTDA, CNPJ: 37.656.644/0001-42, item 43. 45. 48. 49. 56. 116. 171, valor total registrado: R$ 35.188,20\; JUMBO SAUDE IMPORTACAO E EXPORTACAO LTDA, CNPJ: 59.089.998/0001-95, item 6, valor total registrado: R$ 3.716,00\; KMG COMERCIO E SERVICOS LTDA, CNPJ: 42.247.737/0001-53, itens 13, 14, 16, 18, 24, 25, 26, 34, 40 ,57, 73, 96, 124, 125, 129, 141, 154, 155, 159, 166, 169, 172, 174, 180, valor total registrado: R$ 55.059,10\; KR COMERCIO E REPRESENTACOES LTDA, CNPJ: 55.416.530/0001-07, itens 27, 51. Valor total registrado: R$ 3.946,80\; L&amp\;A ENGENHARIA LTDA, CNPJ: 51.897.895/0001-40, item 5, valor total registrado: R$ 3.920,00\; L. DE NARDIN LTDA, CNPJ: 47.363.565/0001-05, itens 21, 134, 160, valor total registrado: R$ 8.378,50\; LICERI COMERCIO DE PRODUTOS EM GERAL LTDA, CNPJ: 26.950.671/0001-07, itens 1, 41, 42, 130, 131, 132, 176, 184, 186, valor total registrado: R$ 9.453,73\; LUIZ TADEO DAMASCHI, CNPJ: 01.424.128/0001-45, item 161, valor total registrado: R$ 900,00\; LUTHOR COMERCIO LTDA, CNPJ: 48.040.995/0001-40, item 39, valor total registrado: R$ 6.999,80\; MALUNA COMERCIAL LTDA, CNPJ: 59.113.312/0001-54, item 58, 61, 64, 82, 84, 85, 97, 103, 113, 121, 136, 147, 151, 152, 153, valor total registrado: R$ 34.655,00\; N C F COMERCIO E SERVICOS, CNPJ: 32.480.783/0001-44, itens 3, 4, 9, 17, 63, 65, 66, 71, 87, 91, 92, 118, 173, 179, valor total registrado: R$ 18.180,84\; NEW PARTS COMERCIAL LTDA, CNPJ: 35.653.751/0001-91, itens 31, 32, 156, valor total registrado: 27.014,00\; NOEM MEDICAL IMPORTACAO E EXPORTACAO DE PRODUTOS MEDICOS-HOSPITALARES LTDA, CNPJ: 32.737.279/0001-87, item 62, valor total registrado: R$ 2.645,00\; R22 COMERCIAL LTDA, CNPJ: 49.598.831/0001-04, item 101, valor total registrado: R$ 231,96\; RLM COMERCIO DE MATERIAL ELETRICO E REPRESENTACAO LTDA, CNPJ: 27.705.841/0001-50, item 149, valor total registrado: R$ 1.360,00\; RLUX ILUMINACAO LTDA, CNPJ: 23.535.805/0001-35, item 109, valor total registrado: R$ 64,80\; SOLUCOES DE SEGURANCA MM LTDA, CNPJ: 47.379.238/0001-33, itens 11, 15, 19, 35, 36, 37, 77, 79, 86, 94, 98, 99, 100, 175, 178, 181, 183, valor total registrado: R$ 8.816,25\; SOLUCOES DE SEGURANCA MM LTDA RJ, CNPJ: 47.379.238/0001-33, itens 142, 148, 150, valor total registrado: R$ 3.610,00\; TACITO ALBERTO D S SANTOS COMERCIO DE PECAS AUTOMOTIVAS, CNPJ: 34.392.438/0001-84, item 108, valor total registrado: R$ 240,00\; VESTE SAFETY UNIFORMES E EPIS X LTDA, CNPJ: 35.805.644/0001-31, itens 2, 55, 59, 60, 678, 68, 69, 70, 72, 78, 106, 107, 114, 115, 120, 122, 126, 127, 128, 135, 143, 144, 145, 182, 185, valor total registrado: R$ 16.170,76.</p><p class="assina">KERLEY FURTADO ARAÚJO Ten Cel Int</p><p class="cargo">Ordenador de Despesas</p>;31/08/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=31/08/2026&jornal=530&pagina=17;AVISO DE HOMOLOGAÇÃO;<p>A BASE AÉREA DE SANTA CRUZ - BASC, torna público que, conforme Processo nº 67269.012775/2025-14, referente a Pregão Eletrônico nº 90009/BASC/2026, e nos termos da legislação vigente, foi homologada, no dia 23/03/2026, pelo Ordenador de Despesas, o Sr Tenente Coronel Intendente Kerley Furtado Araújo, a referida licitação, cujo objeto é Contratação de empresa especializada na prestação dos serviços de Curso Básico de Manutenção de Motores de Popa, como segue: 49.115.459/0001-20, D. R. PERITO COMERCIO E SERVICOS LTDA, item 1, valor total registrado: R$ 8.466,00.</p><p>.</p><p class="assina">KERLEY FURTADO ARAÚJO Ten Cel Int</p><p class="cargo">Ordenador de Despesas</p>;31/08/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=31/08/2026&jornal=530&pagina=19;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 264/2026 / Número do processo: 67284.000666/2026-47 / Objeto: Aquisição de materiais de Elétrica e Pintura para manutenção predial.</p><p>Data de início de recebimento de propostas: 31/08/2026, 09:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 11/09/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12000605002642026</p><p class="assina">ADRIANO MAIA RIBEIRO DE AZEVEDO</p><p class="cargo">Agente de contratação</p>;31/08/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=31/08/2026&jornal=530&pagina=16;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 12/2026 / Número do processo: 67000.003003/2026-13 / Objeto: Registro de preços para aquisição de gêneros alimentícios hortifrutigranjeiros</p><p>Data de início de recebimento de propostas: 31/08/2026, 09:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 11/09/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12000105000122026</p><p class="assina">LUIZ ANGELO DE ANDRADE PINHEIRO BORGES</p><p class="cargo">Ordenador de Despesas do GABAER</p>;31/08/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=31/08/2026&jornal=530&pagina=19;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 194/2026 / Número do processo: 67613.036356/2026-91 / Objeto: PGE 90052/2026 - Aquisição de Paletes para Estrutura de Armazenagem do Depósito da Subdivisão de Suprimento Técnico do CINDACTA II</p><p>Data de início de recebimento de propostas: 31/08/2026, 08:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 14/09/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12007205001942026</p><p class="assina">RAYARA CARDOSO DE FIGUEIREDO SABINO</p><p class="cargo">p/ Equipe de apoio</p>;31/08/2026
