URL;Título;Resumo;Data
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=14/09/2026&jornal=530&pagina=14;AVISO;<p>EXTRATO - UASG 120060</p><p>PREGAO ELETRONICO nº 90007/2025</p><p>A empresa D&amp\;V COMERCIAL E ASSESSORIA LTDA, inscrita no CNPJ nº 55.913.458/0001-23, após regular Processo Administrativo de Apuração de Irregularidade, PAG nº 67510.004816/2026-71, foi sancionada administrativamente com impedimento de licitar e contratar com a Administração Pública, no âmbito do Comando da Aeronáutica (COMAER), pelo prazo de 24 (vinte e quatro) meses, com fundamento no art. 156, inciso III, e § 4º, da Lei nº 14.133/2021 c/c a Portaria nº 623/GC4/2023, no período de 11/09/2026 a 11/09/2028, em razão do descumprimento de obrigação assumida no Pregão Eletrônico nº 90007/2025, referente a Nota de Empenho nº 2025NE001838, conforme Despacho Decisório nº 18/ARC/14201, de 09 de julho de 2026.</p><p class="data">Pirassununga, 10 de setembro de 2026.</p><p class="assina">WELLINGTON MARCELO FERNANDES Cel Int</p><p class="cargo">Ordenador de Despesas da Academia da Força Aérea</p>;14/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=14/09/2026&jornal=530&pagina=14;AVISO;<p>EXTRATO - UASG 120060</p><p>PREGAO ELETRONICO nº 90097/2025</p><p>A empresa TRANSFORMES SOLUTIONS SERVIÇOS E PEÇAS ESPECIAIS LTDA, inscrita no CNPJ nº 22.634.889/0001-00, após regular Processo Administrativo de Apuração de Irregularidade, PAG nº 67510.010526/2026-66, foi sancionada administrativamente com impedimento de licitar e contratar com a Administração Pública, no âmbito do Comando da Aeronáutica (COMAER), pelo prazo de 06 (seis) meses, com fundamento no art. 156, inciso III, e § 4º, da Lei nº 14.133/2021 c/c a Portaria nº 623/GC4/2023, no período de 11/09/2026 a 11/03/2027, em razão do descumprimento de obrigação assumida no Pregão Eletrônico nº 90007/2025, referente ao Contrato nº 043/AFA/2025, conforme Despacho Decisório nº 22/ARC/15634, de 04 de agosto de 2026.</p><p class="data">Pirassununga, 10 de setembro de 2026.</p><p class="assina">WELLINGTON MARCELO FERNANDES Cel Int</p><p class="cargo">Ordenador de Despesas da Academia da Força Aérea</p>;14/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=14/09/2026&jornal=530&pagina=14;AVISO;<p>EXTRATO - UASG 120060</p><p>PREGAO ELETRONICO nº 90008/2025</p><p>A empresa FM CUNHA OUTSOURCING TRADUÇÃO E SOFTWARE LTDA, inscrita no CNPJ nº 55.913.458/0001-23, após regular Processo Administrativo de Apuração de Irregularidade, PAG nº 67511.001871/2025-18, foi sancionada administrativamente com impedimento de licitar e contratar com a Administração Pública, no âmbito do Comando da Aeronáutica (COMAER), pelo prazo de 24 (vinte e quatro) meses, com fundamento no art. 156, inciso III, e § 4º, da Lei nº 14.133/2021 c/c a Portaria nº 623/GC4/2023, no período de 11/09/2026 a 11/09/2028, em razão do descumprimento de obrigação assumida no Pregão Eletrônico nº 90008/2025, referente a Nota de Empenho nº 2025NE000658, conforme Despacho Decisório nº 17/ARC/14129, de 09 de julho de 2026.</p><p class="data">Pirassununga, 10 de setembro de 2026.</p><p class="assina">WELLINGTON MARCELO FERNANDES Cel Int</p><p class="cargo">Ordenador de Despesas da Academia da Força Aérea</p>;14/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=14/09/2026&jornal=530&pagina=14;AVISO;<p>EXTRATO - UASG 120060</p><p>CONTRATO Nº 70/AFA/2024</p><p>A empresa ATRIA CONSTRUÇÕES LTDA, inscrita no CNPJ nº 10.491.196/0001-18, após regular Processo Administrativo de Apuração de Irregularidade, PAG nº 67510.019562/2025-12, foi sancionada administrativamente com pena de impedimento de licitar e contratar pelo prazo de 12(doze) meses, no período de 11/09/2026 a 11/09/2028, com fundamento no art. 156, inciso III, e § 4º, da Lei nº 14.133/2021 c/c a Portaria nº 623/GC4/2023, em razão do inexecução parcial de obrigação assumida no Contrato nº 070/AFA/2024, conforme Despacho Decisório nº 1/CMDO/18402, de 09 de setembro de 2026.</p><p class="data">Pirassununga, 11 de setembro de 2026.</p><p class="assina">GUSTAVO PESTANA GARCEZ Brig Ar</p><p class="cargo">Comandante da Academia da Força Aérea</p>;14/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=14/09/2026&jornal=530&pagina=13;AVISO DE HOMOLOGAÇÃO;<p>A BASE AÉREA DE SANTA CRUZ - BASC, torna público que, conforme Processo nº 67269.001946/2026-01, referente a Pregão Eletrônico nº 90013/BASC/2026, e nos termos da legislação vigente, foi homologada, no dia 14/04/2026, pelo Ordenador de Despesas, o Sr Tenente Coronel Intendente Kerley Furtado Araújo, a referida licitação, cujo objeto é a Aquisição de Kit de Higiene Pessoal, incluindo a colocação de todos os materiais dentro da bolsa, como segue: KMG COMERCIO E SERVICOS LTDA, CNPJ: 42.247.737/0001-53, itens 1, 3, e 4, valor total registrado: R$ 15.327,50\; MS SOLUCOES INTEGRADAS EM PRODUTOS DE ODONTOLOGIA E HOSPITALARES LTDA, CNPJ: 55.469.329/0001-98,item 2, valor total registrado: R$6.975,00.</p><p class="assina">KERLEY FURTADO ARAÚJO Cel Int</p><p class="cargo">Ordenador de Despesas</p>;14/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=14/09/2026&jornal=530&pagina=13;AVISO DE HOMOLOGAÇÃO;<p>A BASE AÉREA DE SANTA CRUZ - BASC, torna público que, conforme Processo nº 67269.001445/2026-84, referente a Pregão Eletrônico nº 90012/BASC/2026, e nos termos da legislação vigente, foi homologada, no dia 01/04/2026, pelo Ordenador de Despesas, o Sr Tenente Coronel Intendente Kerley Furtado Araújo, a referida licitação, cujo objeto é a Contratação de serviços de logística cerimonial, incluindo o fornecimento de material, coleta e entrega dos equipamentos, como segue: TVC DAFLON COMUNICACAO VISUAL LTDA, CNPJ: 29.867.304/0001-32 , itens 1, 2, 4 ao 12, valor total registrado: R$ 6.390,46\; S &amp\; A SOLUCOES E SERVICOS LTDA, CNPJ: 53.850.487/0001-68, item 3, valor total registrado: R$56,10.</p><p class="assina">KERLEY FURTADO ARAÚJO Cel Int</p><p class="cargo">Ordenador de Despesas</p>;14/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=14/09/2026&jornal=530&pagina=13;AVISO DE HOMOLOGAÇÃO;<p>A BASE AÉREA DE SANTA CRUZ - BASC, torna público que, conforme Processo nº 67269.000420/2026-63, referente a Pregão Eletrônico nº 90014/BASC/2026, e nos termos da legislação vigente, foi homologada, no dia 26/06//2026, pelo Ordenador de Despesas, o Sr Tenente Coronel Intendente Kerley Furtado Araújo, a referida licitação, cujo objeto é a Contratação de serviços de transmissão simultânea, incluindo o fornecimento de material, coleta e entrega dos equipamentos, como segue: NACIONAL DIGITAL LTDA, CNPJ: 51.302.912/0001-59, itens 1 ao 12, valor total registrado: R$ 526.913,00.</p><p class="assina">KERLEY FURTADO ARAÚJO Cel Int</p><p class="cargo">Ordenador de Despesas</p>;14/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=14/09/2026&jornal=530&pagina=13;AVISO DE HOMOLOGAÇÃO;<p>A BASE AÉREA DE SANTA CRUZ - BASC, torna público que, conforme Processo nº 67269.002214/2026-98, referente a Pregão Eletrônico nº 90016/BASC/2026, e nos termos da legislação vigente, foi homologada, no dia 14/05/2026, pelo Ordenador de Despesas, o Sr Tenente Coronel Intendente Kerley Furtado Araújo, a referida licitação, cujo objeto é a Aquisição de material permanente para a SHEE da BASC, incluindo o fornecimento de material, coleta e entrega dos equipamentos, como segue: TATIANE GONCALVES NETO, CNPJ: 25.995.281/0001-90, item 3, valor total: R$25.525,00\; B2R SOLUCOES E VENDAS LTDA, CNPJ: 57.159.219/0001-55, item 20, valor total registrado: R$ 81.625,80\; IMPACTO ADMINISTRACAO E EFICIENCIA LTDA, CNPJ: 60.173.263/0001-24, item 18, valor total registrado: R$ 10.386,70\; MOURA E MOURA INFORMATICA E EMPREENDIMENTOS COMERCIAIS LTDA, CNPJ: 07.487.504/0001-27, itens 1,2,4,5,6,7,12,13,17 e 19, valor total registrado: R$ 227.015,00\; MS DELAZARI MOVEIS LTDA, CNPJ: 51.420.822/0001-62, item 21, valor total registrado: R$ 1.368,00\; PREMIUM SERVICOS E SOLUCOES LTDA, CNPJ: 51.915.865/0001-19, item 8,9 e 11, valor total registrado: R$ 104.300,00\; REFRIGERACAO ICARAI LTDA, CNPJ: 31.541.824/0001-00, item 10, valor total registrado: R$ 68.700,00\;</p><p class="assina">KERLEY FURTADO ARAÚJO Cel Int</p><p class="cargo">Ordenador de Despesas</p>;14/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=14/09/2026&jornal=530&pagina=13;AVISO DE HOMOLOGAÇÃO;<p>A BASE AÉREA DE SANTA CRUZ - BASC, torna público que, conforme Processo nº 67269.013180/2025-86, referente a Pregão Eletrônico nº 90015/BASC/2026, e nos termos da legislação vigente, foi homologada, no dia 10/08/2026, pelo Ordenador de Despesas, o Sr Tenente Coronel Intendente Kerley Furtado Araújo, a referida licitação, cujo objeto é a Aquisição de Gêneros Alimentícios - itens de proteínas, incluindo o fornecimento de material, coleta e entrega dos equipamentos, como segue: BEM VIVER SOLUCOES E VENDAS LTDA, CNPJ: 49.592.270/0001-28, item 116 e 117, valor total registrado: R$ 36.000,00\; BOELHE PESCADOS COMERCIAL LTDA, CNPJ: 08.244.781/0001-71, valor total registrado: R$ 56.340,00\; C C S VALENTE COMERCIO DE GENEROS ALIMENTICIOS, CNPJ: 09.031.962/0001-82\; itens 39,40,67, valor total registrado: R$ 96.430,00\; FLOW COMERCIO E SERVICOS EM GERAL LTDA, CNPJ: 36.697.873/0001-42, itens 10,44,45,46,48,59,73,86 e 94, valor total registrado: R$ 700.550,00\; FRIGORIFICO VIEIRA LTDA, CNPJ: 10.866.908/0001-36, itens 3,13,25,29,47,49,69,71,92, valor total registrado R$ 953.280,00 \; HERA MATERIAIS E SERVICOS LTDA, 56.099.149/0001-24, itens 8,27,33,38, valor total registrado: R$ 331.060,00\; 33.851.921/0001-17, JMX COMERCIO DE ALIMENTOS LTDA, itens 75,78,81,83,85,106,108 e 109, valor total registrado: R$ 332.863,00 \; MARISETE ISRAEL PEREIRA,CNPJ: 02.239.391/0001-27, itens 30,31,50,51,74,90 e 115, valor total registrado: R$ 329.743,00\; MULTIPLIQUE COMERCIO DE ALIMENTOS LTDA, CNPJ: 37.190.700/0001-04, itens 7,18,55,77 e 121, valor total registrado: R$ 306.777,80\;ONE BOSS DISTRIBUIDORA DE ALIMENTOS LTDA, 48.817.203/0001-00, itens 5,6,11,12,58,93,95,101,102,103,104,105 e 107\; valor total registrado: R$ 261.107,00\;</p><p class="assina">KERLEY FURTADO ARAÚJO Cel Int</p><p class="cargo">Ordenador de Despesas</p>;14/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=14/09/2026&jornal=530&pagina=15;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 316/2025 / Número do processo: 67002.003414/2025-16 / Objeto: Aquisição de solução completa de 4 (quatro) Lousas Interativas com suporte, serviços de instalação, configuração, calibração e treinamento de pessoal, para o CIAER.</p><p>Data de início de recebimento de propostas: 14/09/2026, 09:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 24/09/2026, 10:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12000605003162025</p><p class="assina">ADRIANO MAIA RIBEIRO DE AZEVEDO</p><p class="cargo">Agente de contratação</p>;14/09/2026
