Termo de pesquisa,Unidade,Seção,URL,Título,Resumo,Data
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=31/07/2026&jornal=530&pagina=12,AVISO DE LICITAÇÃO,"<p>Nº Processo: SD-ADM-2026/00723. Objeto: Licitação destinada à contratação de empresa especializada para prestação de serviços de desinstalação e instalação de cortinas solares motorizadas (persianas), com fornecimento de 05 (cinco) novas cortinas tipo rolo (""roll-on""), com filme certificado pela FAA (Federal Aviation Administration), padrão FAA72 (Order 6480), cor fumê, com capacidade para absorção de, no mínimo, 98% de raios UV e 75% de energia térmica e transmissão de luz de 15%, para a Torre de Controle da Dependência da NAV Brasil em Presidente Prudente/SP (DNDN). Vigência: 06 (seis) meses. Total de itens serem licitados: 01 (um). Edital: de 2ª a 6ª feira (dias úteis) das 08:30h às 12:00h e das 13:00h às 16:30h. Endereço: NAV Brasil Serviços de Navegação Aérea S.A., Avenida General Justo, nº 160 - Centro, Rio de Janeiro/RJ (setor de Protocolo da Administração Central da empresa) ou em https://www.gov.br/compras. Entrega das Propostas: a partir de 03/08/2026 às 09:00h no site https://www.gov.br/compras. Abertura da Sessão Pública: 26/08/2026 às 09:00h no site https://www.gov.br/compras. Informações Gerais: Conforme condições, quantidades e exigências previstas no Edital nº 26/CCLI/SEDE/2026 e respectivos anexos, também disponível no site https://www.navbrasil.gov.br/licitacoes.</p><p class=""assina"">JOSÉ POMPEU DOS MAGALHÃES BRASIL FILHO</p><p class=""cargo"">Ordenador de Despesas</p>",31/07/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=31/07/2026&jornal=530&pagina=12,AVISO DE LICITAÇÃO,"<p>Nº Processo: SD-ADM-2026/00692. Objeto: Contratação de empresa especializada para prestação de serviços de vigia, com dedicação exclusiva de mão de obra, para a dependência da NAV Brasil no aeroporto de Uberlândia/MG (DNUL). Vigência: 30 (trinta) meses. Total de itens serem licitados: 02 (dois). Edital: de 2ª a 6ª feira (dias úteis) das 08:30h às 12:00h e das 13:00h às 16:30h. Endereço: NAV Brasil Serviços de Navegação Aérea S.A., Avenida General Justo, nº 160 - Centro, Rio de Janeiro/RJ (setor de Protocolo da Administração Central da empresa) ou em https://www.gov.br/compras. Entrega das Propostas: a partir de 03/08/2026 às 09:00h no site https://www.gov.br/compras. Abertura da Sessão Pública: 25/08/2026 às 09:00h no site https://www.gov.br/compras. Informações Gerais: Conforme condições, quantidades e exigências previstas no Edital nº 27/CCLI/SEDE/2026 e respectivos anexos, também disponível no site https://www.navbrasil.gov.br/licitacoes.</p><p class=""assina"">JOSÉ POMPEU DOS MAGALHÃES BRASIL FILHO</p><p class=""cargo"">Ordenador de Despesas</p>",31/07/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=31/07/2026&jornal=530&pagina=12,AVISO DE LICITAÇÃO,"<p>Nº Processo: DA-ADM-2026/00045. Objeto: Contratação de empresa especializada em fornecimento de aparelhos de ar-condicionado para a sede da ALADA, pelo Sistema de Registro de Preços (SRP). Vigência: 12 (doze) meses. Total de itens a serem licitados: 5 itens. Edital: de 2ª a 5ª feira (dias úteis), das 9:30h às 12:00h e das 13:30h às 16:30h, e às sextas-feiras, das 8:30h às 12:00h. Endereço: Esplanada dos Ministérios, Bloco M - Anexo - 3º andar, Brasília, ou em https://www.gov.br/compras. Entrega das Propostas: a partir de 31/07/2026 às 09:00h, e abertura da Sessão Pública: 12/08/2026 às 09:00h, no site https://www.gov.br/compras. Informações Gerais: Conforme condições, quantidades e exigências previstas no Edital nº 04/2026 e respectivos anexos, também disponível no site https://www.alada.gov.br/licitacoes.</p><p class=""assina"">ALEXANDRE FALCONIERE DE TORRES</p><p class=""cargo"">Diretor de Administração</p>",31/07/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=31/07/2026&jornal=530&pagina=12,AVISO DE LICITAÇÃO,"<p>Nº Processo: SD-ADM-2026/00674. Objeto: Licitação destinada à contratação de seguradora autorizada pela SUSEP para emissão de apólice única de seguro veicular, com cobertura total, como colisão, incêndio, roubo e furto, danos a terceiros(materiais e pessoais, acidentes pessoais por passageiros), cobertura de vidros e assistência 24 horas dentro e fora do Estado, mecânico local, guincho, pane elétrica ou mecânica, chaveiro e troca de pneus, para os veículos que compõem a frota da NAV Brasil. Vigência: 12 (doze) meses. Total de itens a serem licitados: 01 (um). Edital: de 2ª a 6ª feira (dias úteis) das 08:30h às 12:00h e das 13:00h às 16:30h. Endereço: NAV Brasil Serviços de Navegação Aérea S.A., Avenida General Justo, nº 160 - Centro, Rio de Janeiro/RJ (setor de Protocolo da Administração Central da empresa) ou em https://www.gov.br/compras. Entrega das Propostas: a partir de 04/08/2026 às 09:00h no site https://www.gov.br/compras. Abertura da Sessão Pública: 27/08/2026 às 09:00h no site https://www.gov.br/compras. Informações Gerais: Conforme condições, quantidades e exigências previstas no Edital nº 28/CCLI/SEDE/2026 e respectivos anexos, também disponível no site https://www.navbrasil.gov.br/licitacoes.</p><p class=""assina"">JOSÉ POMPEU DOS MAGALHÃES BRASIL FILHO</p><p class=""cargo"">Ordenador de Despesas</p>",31/07/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=31/07/2026&jornal=530&pagina=11,AVISO DE LICITAÇÃO,"<p>Torna-se publico que o Grupamento de Apoio de Manaus, com sede na Av. Rodrigo Otavio, 770, bairro Crespo, Manaus/AM, inscrita no CNPJ sob o n. 00.394.429/0188-24, realizara a Dispensa Eletronica n. 251/GAP-MN/2026, com criterio de julgamento menor preco, nos termos da Lei n. 14.133, de 1 de abril de 2021, cujo objeto trata da , nos termos do AVISO DE DISPENSA N. 251/GAP-MN/2026 e seus anexos, a ser realizado no dia 31/07/2026, no sistema eletronico de Compras do Governo Federal Comprasnet 4.0, com Horario da Fase de Lances prevista de 10:00h as 16:00h (Horario de Brasilia-DF).</p><p class=""assina"">SUSAN KELLY PRADO ANDRADE Tcel Int</p><p class=""cargo"">Ordenador de Despesas do GAP-MN</p>",31/07/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=31/07/2026&jornal=530&pagina=10,AVISO DE LICITAÇÃO,"<p>ESPÉCIE 1: CONCORRÊNCIA ELETRÔNICA N°66/BASM/2025- PAG: 67273.004700/2025-09 objeto: AQUISIÇÃO E INSTALAÇÃO DOS ELEVADORES DOS CONJUNTOS HABITACIONAIS DA PASM. Abertura da sessão eletrônica às 09h:30 min (Horário de Brasília) do dia 05 de OUTUBRO de 2026. Edital encontra-se em https://www.gov.br/pncp/pt-br e https://apl1.sti.fab.mil.br/epags/. Contato BASM: Seção de Licitações, Rodovia BR 287 KM 232- Santa Maria/RS- CEP 97.105-910- Fone: (055) 3220-3375.</p><p class=""assina"">ROBERTA LUZ CABO</p><p class=""cargo"">Ten Cel Int Ordenador de Despesas</p>",31/07/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=31/07/2026&jornal=530&pagina=10,AVISO DE LICITAÇÃO,"<p>Modalidade: Pregão 65/2026 / Número do processo: 67293.004986/2026-67 / Objeto: Aquisição de equipamentos e ferramentas de uso comum para a oficina mecânica da Seção de Transporte e Superfície (STS) da BAPV.</p><p>Data de início de recebimento de propostas: 31/07/2026, 09:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 12/08/2026, 16:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12064105000652026</p><p class=""assina"">PEDRO ALBERTO MARCIANO BRANDAO</p><p class=""cargo"">Chefe Adjunto da Seção de Licitações e Contratos</p>",31/07/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=31/07/2026&jornal=530&pagina=10,AVISO DE LICITAÇÃO,"<p>Modalidade: Pregão 422/2026 / Número do processo: 67720.004008/2026-38 / Objeto: Eventual aquisição de itens de padaria</p><p>Data de início de recebimento de propostas: 31/07/2026, 08:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 12/08/2026, 08:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12001605004222026</p><p class=""assina"">PLINIO SILVA DE FARIAS</p><p class=""cargo"">Agente de Contratação</p>",31/07/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=31/07/2026&jornal=530&pagina=10,AVISO DE LICITAÇÃO,"<p>Modalidade: Pregão 17/2026 / Número do processo: 67293.000819/2026-47 / Objeto: Aquisição de materiais de hotelaria destinados a atender às necessidades da Seção de Hospedagem e Encargos Especiais (SHEE) da Base Aérea de Porto Velho (BAPV) .</p><p>Data de início de recebimento de propostas: 31/07/2026, 08:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 13/08/2026, 16:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12064105000172026</p><p class=""assina"">PEDRO ALBERTO MARCIANO BRANDAO</p><p class=""cargo"">Chefe da Seção de Licitações e Contratos</p>",31/07/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=31/07/2026&jornal=530&pagina=10,AVISO DE LICITAÇÃO,"<p>Modalidade: Pregão 106/2026 / Número do processo: 67261.004834/2026-31 / Objeto: Serviço de instalação de Usina Fotovoltaica com fornecimento de material</p><p>Data de início de recebimento de propostas: 31/07/2026, 09:30. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 14/08/2026, 09:30</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12063805001062026</p><p class=""assina"">LUANNE MACHADO DA SILVA</p><p class=""cargo"">Equipe de apoio</p>",31/07/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=31/07/2026&jornal=530&pagina=11,AVISO DE LICITAÇÃO,"<p>Modalidade: Concorrência 318/2026 / Número do processo: 67267.002481/2026-85 / Objeto: Contratação de serviços de empresa especializada na elaboração de projetos, visando a readequação do rancho do PAMA-SP e da cozinha do rancho da BAST</p><p>Data de início de recebimento de propostas: 31/07/2026, 08:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 04/09/2026, 10:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/ comprasnet-web/public/compras/acompanhamento-compra?compra=12063303003182026.</p><p class=""assina"">MATEUS DE CASTRO SARTORI</p><p class=""cargo"">Agente de contratação</p>",31/07/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=31/07/2026&jornal=530&pagina=11,AVISO DE LICITAÇÃO,"<p>Modalidade: Pregão 149/2026 / Número do processo: 67532.005770/2025-78 / Objeto: Contratação de empresa especializada para prestação de serviço continuado de manutenção preventiva e corretiva, sem dedicação exclusiva de mão de obra, das unidades centrais de ar-condicionado da GUARNAE-LS, incluindo serviços sob demanda e eventual fornecimento de peças, conforme as condições e exigências do Termo de Referência.</p><p>Data de início de recebimento de propostas: 31/07/2026, 08:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 17/08/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/ comprasnet-web/public/compras/acompanhamento-compra?compra=12063605001492026.</p><p class=""assina"">RAFAEL DO CARMO DAMASCENO</p><p class=""cargo"">Equipe de apoio</p>",31/07/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=31/07/2026&jornal=530&pagina=11,AVISO DE PENALIDADE,"<p>A Base Aérea de Florianópolis, tendo em vista os fatos apurados no Processo Administrativo de Apuração de Irregularidade nº 67272.0000845/2025-32 e 67272.009664/2024-91, resolve:</p><p>Aplicar sanção à empresa BIOLUX DO BRASIL LTDA, inscrita no CNPJ sob o nº 51.596.761/0001-99, de impedimento de licitar e contratar com órgãos e entidades da União, com o consequente descredenciamento no SICAF pelo período de 2 (dois) anos, cumulado com multa moratória no valor de R$ 15.520,53 (quinze mil, quinhentos e vinte reais e cinquenta e três centavos) e multa compensatória no valor de R$ 16.050,87 (dezesseis mil e cinquenta reais e oitenta e sete centavos), conforme decisão fundamentada tomada nos autos do aludido processo.</p><p>A aplicação da sanção se dá pelo inadimplemento das obrigações assumidas por meio das Notas de Empenho nº 2025NE000663, nº 2025NE000840, nº 2025NE000854 e nº 2025NE000864, em razão da prática das infrações dos itens 5.1 do Termo de Referência nº 01/2025 (O prazo de entrega dos bens é de trinta (30) dias corridos, contados do(a) recebimento da nota de Empenho, em remessa única) e 6.1 (O contrato ou instrumento equivalente deverá ser executado fielmente pelas partes [...]), referente à Nota de Empenho 2025NE000663, bem como pelas infrações dos itens 5.1.1 do Termo de Referência nº 05/2025 (Início da execução do objeto: em até 10 dias) e 6.1 (O contrato ou instrumento equivalente, deverá ser executado fielmente pelas partes [...]), referente às Notas de Empenho 2025NE000840, 2025NE000854 e 2025NE000864, ensejando as falhas previstas no art. 6º, itens III e VII da Portaria GABAER nº 623/GC4, de 20 de novembro de 2023, anexo IV do Edital nº 20/2025, referente ao Pregão Eletrônico nº 90035/BAFL/2025, descritas no item 16.11.4 do Edital nº 20/2025, parte integrante e inseparável do instrumento convocatório da referida licitação, conforme condições, quantidades e exigências estabelecidas no edital e seus anexos, estando as sanções em consonância com o art. 156, incisos II e III, da Lei nº 14.133/2021.</p><p class=""assina"">JOÃO PAULO GOMEZ LIMA DA SILVA</p><p class=""cargo"">CORONEL AVIADOR/Ordenador de Despesas da BAFL</p>",31/07/2026
