URL;Título;Resumo;Data
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=24/09/2026&jornal=530&pagina=11;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 278/2026 / Número do processo: 67284.001476/2026-47 / Objeto: Contratação de empresa especializada na prestação de serviço de transporte internacional de bagagem desacompanhada, com seguro específico, porta a porta, de cidades no exterior para o Brasil</p><p>Data de início de recebimento de propostas: 24/09/2026, 09:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 08/10/2026, 10:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12000605002782026</p><p class="assina">ADRIANO MAIA RIBEIRO DE AZEVEDO</p><p class="cargo">Pregoeiro</p>;24/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=24/09/2026&jornal=530&pagina=11;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 98/2026 / Número do processo: 67564.004543/2026-39 / Objeto: Aquisição de materiais e equipamentos para o sistema de vigilância eletrônica do Grupamento de Apoio Logístico de Campanha (GALC).</p><p>Data de início de recebimento de propostas: 24/09/2026, 09:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 06/10/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12062305000982026</p><p class="assina">HORACIO FERNANDO PINTO</p><p class="cargo">Ordenador de Despesas por delegação</p>;24/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=24/09/2026&jornal=530&pagina=11;EDITAL DE NOTIFICAÇÃO;<p>O Presidente da Comissão Tomadora de Contas da TCE nº 1.897/2026, instaurada pela Portaria COMGAP nº 1.019/ADLN, de 21 de julho de 2026, publicada no BCA nº 130, de 27 de julho de 2026, no âmbito da Comissão Aeronáutica Brasileira em Washington (CABW), com fundamento no art. 26, § 4º, da Lei nº 9.784, de 29 de janeiro de 1999, observadas a Instrução Normativa TCU nº 98/2024 e a Decisão Normativa TCU nº 155/2016, alterada pela Decisão Normativa TCU nº 217/2025, NOTIFICA, por este Edital, a empresa AEROSPACE PRECISION, INC., CAGE Code 00Q22, UEI T8B9PLUHJK99, por intermédio de seu representante legal, no âmbito do NUP 67102.000376/2026-94.</p><p>A notificação por edital decorre da impossibilidade de localização da empresa para sua efetiva cientificação, após o esgotamento, sem êxito, das diligências realizadas nos endereços e pelos meios disponíveis, conforme registros constantes dos autos, sem confirmação válida de recebimento das notificações anteriores.</p><p>A apuração refere-se à não restituição de 106 materiais aeronáuticos pertencentes à União, encaminhados à empresa para avaliação ou reparo entre 2018 e 2021, cuja relação individualizada e documentação de suporte constam dos autos e estão disponíveis à notificada pelos canais indicados neste Edital.</p><p>Fica concedido o prazo de 15 (quinze) dias corridos para apresentação de defesa e documentos, inclusive quanto à guarda, à localização e à restituição dos materiais, aos valores e aos critérios de cálculo, bem como para informação e comprovação de restituição dos bens ou de ressarcimento ao Erário, ou apresentação de proposta fundamentada de solução, sujeita à análise da Comissão. A mera declaração de intenção ou apresentação de proposta não caracteriza, por si só, restituição, ressarcimento ou quitação.</p><p>O prazo será contado da efetiva publicação deste Edital no Diário Oficial da União, excluído o dia da publicação e incluído o do vencimento, em contagem contínua. Se o vencimento recair em dia em que não houver expediente na CABW ou em que este for encerrado antes da hora normal, o prazo será prorrogado até o primeiro dia útil seguinte, na forma do art. 66 da Lei nº 9.784/1999.</p><p>A defesa e os documentos deverão ser encaminhados à Comissão Tomadora de Contas, no endereço 1701 22nd Street NW, Washington, DC 20008-1931, Estados Unidos da América, ou para protocolo.cabw@fab.mil.br, com cópia para chf.aci.cabw@fab.mil.br e chf.arc.cabw@fab.mil.br, indicando no assunto: "TCE nº 1.897/2026 - NUP 67102.000376/2026-94 - Resposta à notificação". A manifestação poderá ser apresentada pelo representante legal da empresa ou por procurador devidamente constituído, sem exigência de comparecimento presencial.</p><p>A vista dos autos e a obtenção de cópias, inclusive da relação individualizada dos materiais, dos documentos de suporte e dos demonstrativos de cálculo, poderão ser solicitadas pelos mesmos canais, mediante identificação e comprovação dos poderes de representação, nos termos do art. 46 da Lei nº 9.784/1999. Eventual alteração da quantificação considerada na apuração será comunicada à empresa, assegurado novo prazo integral de manifestação sobre o respectivo demonstrativo.</p><p>A ausência de manifestação não importará reconhecimento da verdade dos fatos nem renúncia a direito, prosseguindo a apuração com os elementos disponíveis e preservado o direito de defesa, nos termos do art. 27 da Lei nº 9.784/1999. As manifestações e os documentos supervenientes serão juntados aos autos e apreciados no curso da instrução, assegurada à empresa oportunidade de manifestação caso deles possa decorrer fundamento novo para conclusão desfavorável.</p><p class="assina">ALBERTO DE ALMEIDA GOMES</p><p class="cargo">Ten Cel Int - Presidente da Comissão Tomadora de Contas</p>;24/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=24/09/2026&jornal=530&pagina=11;EXTRATO DE APOSTILAMENTO Nº 3/2026 - UASG 120060;<p>Número do Contrato: 78/2024.</p><p>Nº Processo: 67510.020513/2024-33.</p><p>Contratante: ACADEMIA DA FORCA AEREA. Contratado: 55.996.615/0001-01 - CLD CONSTRUTORA, LACOS DETETORES E ELETRONICA LTDA.. Objeto: 1.1. O presente termo de apostilamento tem por objeto o reajuste de preços no escopo do contrato nº 078/afa/2024, cujo objeto é a contratação de serviço de recuperação estrutural e reforma da seção de subsistência (ssub) da academia da força aérea.. Vigência: 13/02/2025 a 15/12/2026. Valor Total Atualizado do Contrato: R$ 12.319.226,90. Data de Assinatura: 22/09/2026.</p><p>(COMPRASNET 4.0 - 24/09/2026).</p>;24/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=24/09/2026&jornal=530&pagina=10;EXTRATO DE CONTRATO Nº 20/2026 - UASG 120637;<p>Nº Processo: 67291.003782/2025 - 48.</p><p>Pregão Nº 90010/2025. Contratante: BASE AEREA DE BOA VISTA.</p><p>Contratado: 33.613.876/0001-62 - BQS DISTRIBUIDORA LTDA. Objeto: Aquisição de materiais de copa e cozinha.</p><p>Fundamento Legal: LEI 14.133/2021. Vigência: 25/08/2026 a 25/08/2027. Valor Total: R$ 55.978,00. Data de Assinatura: 25/08/2026.</p><p>(COMPRASNET 4.0 - 22/09/2026).</p>;24/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=24/09/2026&jornal=530&pagina=10;EXTRATO DE CONTRATO Nº 22/2026 - UASG 120637;<p>Nº Processo: 67291.003782/2025 - 48.</p><p>Pregão Nº 90010/2025. Contratante: BASE AEREA DE BOA VISTA.</p><p>Contratado: 12.811.487/0001-71 - MULTISUL COMERCIO E DISTRIBUICAO LTDA. Objeto: Aquisição de materiais de copa e cozinha.</p><p>Fundamento Legal: LEI 14.133/2021. Vigência: 25/08/2026 a 25/08/2027. Valor Total: R$ 23.400,00. Data de Assinatura: 25/08/2026.</p><p>(COMPRASNET 4.0 - 22/09/2026).</p>;24/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=24/09/2026&jornal=530&pagina=11;EXTRATO DE CONTRATO Nº 24/2026 - UASG 120064;<p>Nº Processo: 67540.020701/2025-95.</p><p>Pregão Nº 90029/2026. Contratante: ESCOLA DE ESPECIALISTAS DE AERONAUTICA.</p><p>Contratado: 31.562.060/0001-21 - KAYO DE SOUZA SILVA. Objeto: Prestação de serviços de manutenção predial nos bens imóveis da EEAR e nos PNR da PAGW, bem como todas as benfeitorias da Guarnição de Guaratinguetá (GUARNAE-GW), com julgamento por maior desconto.</p><p>Fundamento Legal: LEI 14.133/2021. Vigência: 17/09/2026 a 17/09/2027. Valor Total: R$ 6.395.232,90. Data de Assinatura: 17/09/2026.</p><p>(COMPRASNET 4.0 - 22/09/2026).</p>;24/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=24/09/2026&jornal=530&pagina=10;EXTRATO DE CONTRATO Nº 25/2026 - UASG 120637;<p>Nº Processo: 67291.003782/2025-48.</p><p>Pregão Nº 90010/2025. Contratante: BASE AEREA DE BOA VISTA.</p><p>Contratado: 28.043.138/0001-97 - ADZ DO NORTE LTDA. Objeto: Aquisição de materiais de copa e cozinha.</p><p>Fundamento Legal: LEI 14.133/2021. Vigência: 25/08/2026 a 25/08/2027. Valor Total: R$ 5.300,00. Data de Assinatura: 25/08/2026.</p><p>(COMPRASNET 4.0 - 22/09/2026).</p>;24/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=24/09/2026&jornal=530&pagina=11;EXTRATO DE CONTRATO Nº 27/2026 - UASG 120060;<p>Nº Processo: 67511.000123/2026-07.</p><p>Dispensa Nº 121/2026. Contratante: ACADEMIA DA FORCA AEREA.</p><p>Contratado: 46.899.840/0001-39 - MATEUS CHIACHIERO DO NASCIMENTO LTDA. Objeto: Contratação de serviços comuns de coleta, análise de solo e recomendações de fertilizantes para a fazenda da aeronáutica de pirassununga..</p><p>Fundamento Legal: LEI 14.133/2021 - Artigo: 75 - Inciso: I. Vigência: 10/09/2026 a 10/09/2027. Valor Total: R$ 12.663,00. Data de Assinatura: 10/09/2026.</p><p>(COMPRASNET 4.0 - 24/09/2026).</p>;24/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=24/09/2026&jornal=530&pagina=10;EXTRATO DE CONTRATO Nº 27/2026 - UASG 120637;<p>Nº Processo: 67291.003782/2025 - 48.</p><p>Pregão Nº 90010/2025. Contratante: BASE AEREA DE BOA VISTA.</p><p>Contratado: 53.710.803/0001-04 - STP COMERCIAL LTDA. Objeto: Aquisição de materiais de copa e cozinha.</p><p>Fundamento Legal: LEI 14.133/2021. Vigência: 25/08/2026 a 25/08/2027. Valor Total: R$ 16.500,00. Data de Assinatura: 25/08/2026.</p><p>(COMPRASNET 4.0 - 22/09/2026).</p>;24/09/2026
