URL,Título,Resumo,Data
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=27/07/2026&jornal=530&pagina=13,AVISO,"<p>A União por intermédio do Grupamento de Apoio de Manaus (GAP-MN), neste ato representado por sua Ordenadora de Despesas, dentro das suas atribuições legais, tendo em vista os fatos apurados no Processo Administrativo de Apuração de Irregularidade (PAAI) n° 23/GAPMN/2025 de NUP: 672980040472025-91, resolve:</p><p>Aplicar sanção à empresa I.S ENGECLIM SERVIÇOS DE ENGENHARIA LTDA, inscrita no CNPJ sob n° 27.850.036/0001-10, na modalidade de impedimento de licitar e contratar com a União, com descredenciamento no Sistema de Cadastramento Unificado de Fornecedores (SICAF), no prazo de 24 (vinte e quatro) meses, com fundamento no art. 7° da Lei n° 10.520/2002, observados os critérios de dosimetria previstos na ICA 12-23/2023 e nos itens 21.2, iv, 21.3 e 21.10 do Termo de Referência do Pregão Eletrônico n° 52/GAP-MN/23, vinculado à Ata de Registro de Preços n° 274/2023, com prazo inicial: 21/03/2026 e prazo final: 21/03/2028, cumulada com multa compensatória na proporção de 10% (dez por cento) sobre o valor da parcela inadimplida, correspondendo à multa ao total de R$ 627,99 (seiscentos e vinte e sete reais e noventa e nove centavos), nos termos do item 21.2, ii, (2) do referido Termo de Referência, conforme decisão fundamentada tomada nos autos do aludido processo.</p><p>A aplicação da sanção se dá em razão da inexecução parcial e culposa do objeto da Nota de Empenho n° 2024NE001507, emitida em 07 de agosto de 2024, no valor total de R$ 18.330,87, remanescendo inexecutado o saldo de R$ 6.279,87, com a consequente rescisão unilateral do ajuste, apurada em procedimento em que foi propiciada à empresa a mais ampla defesa e observado o contraditório em todas as etapas, em consonância com o que preveem o inciso LV do artigo 5° da Constituição Federal e os dispositivos da Lei n° 9.784/99, tendo a contratada sido regularmente notificada da decisão em 13 de março de 2026 e transcorrido in albis o prazo recursal, com o consequente encerramento da instância administrativa em 21 de março de 2026.</p><p class=""assina"">Tc Qoint SUSAN KELLY PRADO ANDRADE</p><p class=""cargo"">Chefe do GAP-MN</p>",27/07/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=27/07/2026&jornal=530&pagina=12,AVISO DE LICITAÇÃO,"<p>MAER-GAPBR-GRUPAMENTO DE APOIO DE BRASILIA/DF - UASG 120006</p><p>Modalidade: Pregão 305/2026 / Número do processo: 67444.000957/2026-55 / Objeto: Contratação de serviços contínuos de manutenção preventiva e corretiva de equipamentos odontológicos.</p><p>Data de início de recebimento de propostas: 27/07/2026, 09:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 10/08/2026, 10:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12000605003052026</p><p class=""assina"">MARCELO FERREIRA PASCOAL</p><p class=""cargo"">Autoridade competente</p>",27/07/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=27/07/2026&jornal=530&pagina=12,AVISO DE LICITAÇÃO,"<p>GRUPAMENTO DE APOIO DE CANOAS - UASG 120629</p><p>Modalidade: Pregão 209/2026 / Número do processo: 67278.003077/2026-08 / Objeto: Aquisição de Grupo Gerador e Equipamentos de energia elétrica para o 2°1° GCC, nos termos da tabela abaixo, conforme condições e exigências estabelecidas neste instrumento.</p><p>Data de início de recebimento de propostas: 27/07/2026, 09:10. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 06/08/2026, 09:10</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12062905002092026</p><p class=""assina"">FAGNER OLIVEIRA DA SILVA</p><p class=""cargo"">Agente de contratação</p>",27/07/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=27/07/2026&jornal=530&pagina=12,AVISO DE LICITAÇÃO,"<p>GRUPAMENTO DE APOIO DOS AFONSOS - UASG 120623</p><p>Modalidade: Concorrência 248/2026 / Número do processo: 67564.002518/2026-11 / Objeto: Contratação da execução de serviços de instalação, adequação e integração de sistema de abastecimento de combustível do Grupamento de Apoio dos Afonsos</p><p>Data de início de recebimento de propostas: 27/07/2026, 09:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 10/08/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12062303002482026</p><p class=""assina"">HORACIO FERNANDO PINTO</p><p class=""cargo"">Agente de contratação</p>",27/07/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=27/07/2026&jornal=530&pagina=11,AVISO DE LICITAÇÃO,"<p>BASE AÉREA DE BOAVISTA - UASG 120637</p><p>Modalidade: Pregão 30/2027 / Número do processo: 67291.011065/2025-90 / Objeto: AQUISIÇÃO DE MOBILIÁRIOS PARA O CAIS/FISIO DO GSAU-BV</p><p>Data de início de recebimento de propostas: 27/07/2026, 10:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 06/08/2026, 10:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12063705000302027</p><p class=""assina"">JOZAFAR DA PAIXAO OLIVEIRA JUNIOR</p><p class=""cargo"">Autoridade competente</p>",27/07/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=27/07/2026&jornal=530&pagina=12,AVISO DE LICITAÇÃO,"<p>GRUPAMENTO DE APOIO DE CANOAS - UASG 120629</p><p>Modalidade: Pregão 183/2026 / Número do processo: 67278.001363/2026-21 / Objeto: Contratação de serviço especializado de auditoria de conformidade para avaliação do Sistema de Gestão da Qualidade do Laboratório Clínico para obtenção de certificado de acreditação.</p><p>Data de início de recebimento de propostas: 27/07/2026, 09:30. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 10/08/2026, 09:10</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12062905001832026</p><p class=""assina"">FAGNER OLIVEIRA DA SILVA</p><p class=""cargo"">Agente de contratação</p>",27/07/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=27/07/2026&jornal=530&pagina=11,AVISO DE LICITAÇÃO,"<p>BASE AÉREA DE ANÁPOLIS - UASG 120624</p><p>Modalidade: Pregão 266/2026 / Número do processo: 67281.010751/2025-62 / Objeto: Registro de preços para eventual aquisição de material de consumo hospitalar, a fim de atender as demandas do Grupo de Saúde de Anápolis.</p><p>Data de início de recebimento de propostas: 27/07/2026, 09:30. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 13/08/2026, 09:30</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12062405002662026</p><p class=""assina"">LIGIA MARIA DE ALENCAR OLIVEIRA</p><p class=""cargo"">Autoridade competente</p>",27/07/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=27/07/2026&jornal=530&pagina=11,AVISO DE LICITAÇÃO,"<p>SEGUNDO CENTRO INT.DEF.AEREA CONTR.TFG.AEREO - UASG 120072</p><p>Modalidade: Pregão 173/2026 / Número do processo: 67613.028333/2026-11 / Objeto: PGE 90044/2026 - Aquisição de material de consumo de climatização</p><p>Data de início de recebimento de propostas: 27/07/2026, 09:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 06/08/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12007205001732026</p><p class=""assina"">RAYARA CARDOSO DE FIGUEIREDO SABINO</p><p class=""cargo"">Equipe de apoio</p>",27/07/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=27/07/2026&jornal=530&pagina=13,AVISO DE LICITAÇÃO,"<p>Processo nº DA-ADM-2026/00033</p><p>Objeto: Contratação de empresa especializada em fornecimento e instalação de mobiliário para a sede da ALADA, pelo Sistema de Registro de Preços (SRP). Vigência: 12 (doze) meses. Total de itens a serem licitados: 33 itens. Edital: de 2ª a 5ª feira (dias úteis), das 9:30h às 12:00h e das 13:30h às 16:30h, e às sextas-feiras, das 8:30h às 12:00h. Endereço: Esplanada dos Ministérios, Bloco M - Anexo - 3º andar, Brasília, ou em https://www.gov.br/compras. Entrega das Propostas: a partir de 27/07/2026 às 09:00h, e abertura da Sessão Pública: 06/08/2026 às 09:00h, no site https://www.gov.br/compras. Informações Gerais: Conforme condições, quantidades e exigências previstas no Edital nº 03/2026 e respectivos anexos, também disponível no site https://www.alada.gov.br/licitacoes.</p><p class=""assina"">ALEXANDRE FALCONIERE DE TORRES</p><p class=""cargo"">Diretor de Administração</p>",27/07/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=27/07/2026&jornal=530&pagina=11,AVISO DE LICITAÇÃO,"<p>SEGUNDO CENTRO INT.DEF.AEREA CONTR.TFG.AEREO - UASG 120072</p><p>Modalidade: Pregão 166/2026 / Número do processo: 67613.010985/2026-91 / Objeto: PGE 90037/2026 - Aquisição de e itens para a Ceia e Lanche de Bordo, para atender as demandas da Seção de Subsistência do Segundo Centro Integrado de Defesa Aérea e Controle de Tráfego Aéreo e apoiar, com alimentação, os efetivos da Guarnição de Aeronáutica de Curitiba (GUARNAE-CT)</p><p>Data de início de recebimento de propostas: 27/07/2026, 09:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 06/08/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12007205001662026</p><p class=""assina"">RAYARA CARDOSO DE FIGUEIREDO SABINO</p><p class=""cargo"">Equipe de apoio</p>",27/07/2026
