Termo de pesquisa,Unidade,Seção,URL,Título,Resumo,Data
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=04/08/2026&jornal=530&pagina=12,AVISO DE LICITAÇÃO,"<p>Modalidade: Pregão 3/2026 / Número do processo: 67273.004892/2026-26 / Objeto: AQUISIÇÃO DE MATERIAL DE CONSUMO DE VIGILÂNCIA ELETRÔNICA E COMUNICAÇÃO</p><p>Data de início de recebimento de propostas: 04/08/2026, 08:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 24/08/2026, 09:30</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12064305000032026</p><p class=""assina"">THIAGO DE ANDRADE ALVES DO NASCIMENTO</p><p class=""cargo"">Agente de contratação</p>",04/08/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=04/08/2026&jornal=530&pagina=14,AVISO DE LICITAÇÃO,"<p>Modalidade: Pregão 315/2026 / Número do processo: 67263.000873/2026-40 / Objeto: Cessão de uso para funcionamento de Cantina</p><p>Data de início de recebimento de propostas: 04/08/2026, 10:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 18/08/2026, 10:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12063305003152026</p><p class=""assina"">JOESER SOARES DE CARVALHO</p><p class=""cargo"">Gestor de Licitações</p>",04/08/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=04/08/2026&jornal=530&pagina=14,AVISO DE LICITAÇÃO,"<p>Modalidade: Pregão 97/2026 / Número do processo: 67272.001637/2026-31 / Objeto: O objeto da presente licitação é a Aquisição de uniformes profissionais (vestuário, calçados e equipamentos de proteção) e de itens de rouparia (enxoval hospitalar e hoteleiro) para atender às Seções de Subsistência e de Serviços Especiais da BAFL.</p><p>Data de início de recebimento de propostas: 04/08/2026, 09:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 14/08/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12007305000972026</p><p class=""assina"">LUAN CARLOS BENDOTTI</p><p class=""cargo"">Agente de contratação</p>",04/08/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=04/08/2026&jornal=530&pagina=12,AVISO DE LICITAÇÃO,"<p>O Centro Logístico da Aeronáutica (CELOG), faz saber que venderá, por intermédio do leiloeiro público João Emilio de O. Filho, matrícula JUCERJA nº 45, em leilão online a ser realizado no site www.joaoemilio.com.br, no dia 28/08/2026, com início às 10h, de MATERIAIS AERONÁUTICOS E EQUIPAMENTOS ORIUNDOS DE PROJETOS DIVERSOS, estando disponível edital e condições do leilão no site e escritório do leiloeiro e afixados nas Unidades FAB envolvidas..</p><p class=""assina"">Brig Ar ANDERSON DA SILVA NISHIO</p><p class=""cargo"">Ordenador de Despesas</p>",04/08/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=04/08/2026&jornal=530&pagina=14,AVISO DE LICITAÇÃO,"<p>Modalidade: Pregão 252/2026 / Número do processo: 67720.002922/2026-44 / Objeto: Eventual Aquisição de aparelhos de ar condicionado</p><p>Data de início de recebimento de propostas: 04/08/2026, 09:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 17/08/2026, 09:30</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12001605002522026</p><p class=""assina"">ANA CLARA DE TOLEDO SILVA ANASTACIO</p><p class=""cargo"">Pregoeiro</p>",04/08/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=04/08/2026&jornal=530&pagina=12,AVISO DE LICITAÇÃO,"<p>Modalidade: Pregão 40/2026 / Número do processo: 67273.003170/2026-54 / Objeto: SERVIÇOS GERAIS DE LIMPEZA E HIGIENIZAÇÃO E CONSERVAÇÃO DE BENS IMÓVEIS</p><p>Data de início de recebimento de propostas: 04/08/2026, 08:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 27/08/2026, 09:30</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12064305000402026</p><p class=""assina"">THIAGO DE ANDRADE ALVES DO NASCIMENTO</p><p class=""cargo"">Agente de contratação</p>",04/08/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=04/08/2026&jornal=530&pagina=12,AVISO DE LICITAÇÃO,"<p>Modalidade: Concorrência 152/2026 / Número do processo: 67510.011798/2026-83 / Objeto: Permissão de uso, a título oneroso, de Bens Imóveis de Domínio da União, para realização do Evento Domingo Aéreo AFA 2026</p><p>Data de início de recebimento de propostas: 04/08/2026, 08:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 09/09/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12006003001522026</p><p class=""assina"">WELLINGTON MARCELO FERNANDES</p><p class=""cargo"">Agente de contratação</p>",04/08/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=04/08/2026&jornal=530&pagina=12,AVISO DE PENALIDADE,"<p>EXTRATO - UASG 120060</p><p>A empresa UNIVERSO ATACADISTA MATERIAIS PARA CONSTRUÇÃO LTDA, inscrita no CNPJ nº 43.881.723.0001-50, após regular Processo Administrativo de Apuração de Irregularidade, PAG nº 67510.000690/2026-65, foi sancionada administrativamente com impedimento de licitar e contratar com a Administração Pública, no âmbito do Comando da Aeronáutica (COMAER), pelo prazo de 24 (vinte e quatro) meses, com fundamento no art. 156, inciso III, e § 4º, da Lei nº 14.133/2021 c/c a Portaria nº 623/GC4/2023, no período de 25/05/2026 a 25/05/2028, em razão do descumprimento de obrigação assumida no Pregão Eletrônico nº 90084/2025, referente a Nota de Empenho nº 2025NE001539, conforme Despacho Decisório nº 7/ARC/10403, de 24 de maio de 2026.</p><p class=""data"">Pirassununga - SP, 3 de agosto de 2026.</p><p class=""assina"">WELLINGTON MARCELO FERNANDES Cel Int</p><p class=""cargo"">Ordenador de Despesas da Academia da Força Aérea</p>",04/08/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=04/08/2026&jornal=530&pagina=12,AVISO DE PENALIDADE,"<p>EXTRATO - UASG 120060</p><p>A empresa UNIVERSO DE PRODUTOS E SOLUÇÕES LTDA, inscrita no CNPJ nº 56.048.369/0001-29, após regular Processo Administrativo de Apuração de Irregularidade, PAG nº 67510.001543/2026-11, foi sancionada administrativamente com impedimento de licitar e contratar com a Administração Pública, no âmbito do Comando da Aeronáutica (COMAER), pelo prazo de 24 (vinte e quatro) meses, com fundamento no art. 156, inciso III, e § 4º, da Lei nº 14.133/2021 c/c a Portaria nº 623/GC4/2023, no período de 21/05/2026 a 21/05/2028, em razão do descumprimento de obrigação assumida no Pregão Eletrônico nº 90061/2025, referente a Nota de Empenho nº 2025NE002231, conforme Despacho Decisório nº 6/ARC/10131, de 20 de maio de 2026.</p><p class=""data"">Pirassununga -SP, 3 de agosto de 2026.</p><p class=""assina"">WELLINGTON MARCELO FERNANDES Cel Int</p><p class=""cargo"">Ordenador de Despesas da Academia da Força Aérea</p>",04/08/2026
,Comando da Aeronáutica,DOU - Seção 3,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=04/08/2026&jornal=530&pagina=14,EDITAL DE NOTIFICAÇÃO,"<p>1. Apos tentativa de notificar por meio de correspondencia fisica e eletronica sem resposta. A Uniao, por intermedio do GRUPAMENTO DE APOIO DOS AFONSOS (GAP-AF), neste ato representada por seu Ordenador de Despesas, vem NOTIFICAR a empresa AK INOVACOES LTDA, ja qualificada no ambito do Pregao Eletronico n 90018/GAP-AF/2025, da aplicacao da sancao administrativa de IMPEDIMENTO DE LICITAR E CONTRATAR COM A ADMINISTRACAO PUBLICA FEDERAL pelo prazo de 12 (doze) meses, nos termos do art. 156, inciso III, da Lei no 14.133/2021, c/c art. 20, inciso V, alinea b, da Portaria GABAER n 623/GC4/2023, em razao do descumprimento das obrigacoes assumidas na Ata de Registro de Precos n 00322/2025.</p><p>2. A sancao decorre da constatacao de inexecucao contratual relevante, consubstanciada no descumprimento do prazo de entrega, fornecimento de materiais em desacordo com as especificacoes tecnicas previstas no Termo de Referencia n 126/2025 e entrega parcial do objeto contratado, circunstancias que ocasionaram prejuizos operacionais a Administracao e demandaram adocao de medidas emergenciais para garantia da realizacao do 61 Campeonato Mundial de Pentatlo Aeronautico Militar (CISM).</p><p>3. Os fatos que ensejaram a aplicacao da referida sancao encontram-se detalhadamente descritos no Processo Administrativo de Apuracao de Irregularidade PAAI 01/ARC/2026, bem como no Parecer Administrativo n 16/4101/2026, de 26 de junho de 2026, e no Despacho Decisorio no 15/ARC/4259, de 3 de julho de 2026, emitidos pela Assessoria de Riscos Contratuais e pela autoridade competente, respectivamente, os quais seguem anexos para ciencia integral.</p><p>4. Nos termos do art. 166 da Lei n 14.133/2021 e do art. 23 da Portaria GABAER</p><p>n 623/GC4/2023, fica a empresa NOTIFICADA de que podera apresentar RECURSO ADMINISTRATIVO, por escrito e devidamente assinado por representante legalmente constituido, no prazo de 15 (quinze) dias uteis, contados da ciencia desta notificacao.</p><p>5. Informo, ainda, que a ausencia de interposicao de recurso no prazo legal implicara</p><p>o prosseguimento das providencias administrativas cabiveis para registro definitivo da sancao nos sistemas competentes da Administracao Publica Federal.</p><p class=""data"">Rio de Janeiro, 3 de agosto de 2026.</p><p class=""assina"">MARLOS FELIPE DOS SANTOS Coronel Intendente</p><p class=""cargo"">Ordenador de Despesa</p>",04/08/2026
