URL;Título;Resumo;Data
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=11/09/2026&jornal=530&pagina=9;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 104/2026 / Número do processo: 67101001194202641 / Objeto: Contratação de Serviço de Retrofit/Modernização, em território nacional, com o objetivo de atualizar a suíte de aviônicos da frota do projeto C-98/Cessna 208 Caravan da Força Aérea Brasileira</p><p>Data de início de recebimento de propostas: 11/09/2026, 09:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 25/09/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12007105001042026</p><p class="assina">ANDERSON DA SILVA NISHIO</p><p class="cargo">Ordenador de Despesas</p>;11/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=11/09/2026&jornal=530&pagina=12;AVISO DE LICITAÇÃO;<p>Nº Processo: SD-ADM-2026/00852. Objeto: Licitação destinada à contratação de empresa especializada para executar os serviços contínuos de conservação, higiene e limpeza, com dedicação exclusiva de mão de obra e com fornecimento de material, a serem prestados nas áreas internas e externas da dependência da NAV Brasil em Alta Floresta/MT (DNAT). Vigência: 30 (trinta) meses. Total de itens a serem licitados: 01 (um). Edital: de 2ª a 6ª feira (dias úteis) das 08:30h às 12:00h e das 13:00h às 16:30h. Endereço: NAV Brasil Serviços de Navegação Aérea S.A., Avenida General Justo, nº 160 - Centro, Rio de Janeiro/RJ (setor de Protocolo da Administração Central da empresa) ou em https://www.gov.br/compras. Entrega das Propostas: a partir de 14/09/2026 às 09:00h no site https://www.gov.br/compras. Abertura da Sessão Pública: 07/10/2026 às 09:00h no site https://www.gov.br/compras. Informações Gerais: Conforme condições, quantidades e exigências previstas no Edital nº 34/CCLI/SEDE/2026 e respectivos anexos, também disponível no site https://www.navbrasil.gov.br/licitacoes.</p><p class="assina">JOSÉ POMPEU DOS MAGALHÃES BRASIL FILHO</p><p class="cargo">Ordenador de Despesas</p>;11/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=11/09/2026&jornal=530&pagina=11;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 217/2026 / Número do processo: 67278.003647/2026-51 / Objeto: AQUISIÇÃO DE CAPACHOS PARA A SEÇÃO SUBSISTÊNCIA DO GRUPAMENTO DE APOIO DE CANOAS</p><p>Data de início de recebimento de propostas: 11/09/2026, 09:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 24/09/2026, 09:10</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12062905002172026</p><p class="assina">DANYELLA ARAUJO FERNANDES RIBEIRO</p><p class="cargo">Agente de contratação</p>;11/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=11/09/2026&jornal=530&pagina=11;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 105/2026 / Número do processo: 67215.005559/2026-29 / Objeto: Aquisição de Fios Cirúrgicos, a serem utilizados pelo Hospital de Aeronáutica de Belém</p><p>Data de início de recebimento de propostas: 11/09/2026, 09:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 23/09/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12062805001052026</p><p class="assina">RENATA DE SOUZA BARBOSA</p><p class="cargo">p/ Equipe de apoio</p>;11/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=11/09/2026&jornal=530&pagina=10;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 685/2026 / Número do processo: 67720.000845/2025-98 / Objeto: Contratação do serviço de limpeza do Hotel do ICEA</p><p>Data de início de recebimento de propostas: 11/09/2026, 08:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 25/09/2026, 08:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12001605006852026</p><p class="assina">WELLINGTON LUIZ AMERICO DE OLIVEIRA PINTO</p><p class="cargo">Pregoeiro</p>;11/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=11/09/2026&jornal=530&pagina=9;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 153/2026 / Número do processo: 67222.002946/2026-14 / Objeto: Cessão Onerosa de uso de área para Corrida do Vento 2026, na modalidade de pregão eletrônico.</p><p>Data de início de recebimento de propostas: 11/09/2026, 08:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 25/09/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12063105001532026</p><p class="assina">SILVIA NATALIA SOARES MENEZES DA SILVA</p><p class="cargo">Ordenador de Despesas</p>;11/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=11/09/2026&jornal=530&pagina=10;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 19/2026 / Número do processo: 67550014258202502 / Objeto: Registro de preços para aquisição de material de higiene e limpeza, conforme condições, quantidades e exigências estabelecidas no Edital e seus anexos.</p><p>Data de início de recebimento de propostas: 11/09/2026, 08:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 23/09/2026, 10:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12002505000192026</p><p class="assina">FERNANDA DE CRISTO MARQUES SILVA</p><p class="cargo">Ordenadora de Despesas Delegada</p>;11/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=11/09/2026&jornal=530&pagina=10;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 181/2026 / Número do processo: 67540.011986/2025-73 / Objeto: Aquisição de materiais para a Subseção de Combustível e Lubrificantes</p><p>Data de início de recebimento de propostas: 11/09/2026, 09:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 25/09/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12006405001812026</p><p class="assina">THAIANNE DE OLIVEIRA ASSIS NOLASCO</p><p class="cargo">Pregoeiro</p>;11/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=11/09/2026&jornal=530&pagina=9;AVISO DE LICITAÇÃO;<p>Objeto: FLIGHT DATABASE SERVICE PRO LINE FUSION, INCLUDE: WORLD FUSION DB BASE, IFIS AND ENROUTE CHARTS - Projeto C8</p><p>Total de itens licitados: 4</p><p>Edital: 11/09/2026 em horário comercial.</p><p>Endereço: BRAZILIAN AERONAUTICAL COMMISSION - 1701, 22ND STREET NW</p><p>ABERTURA: 25/09/2026</p><p>O edital estará disponível em https://www.fab.mil.br/CABW</p><p class="assina">FABIO FERREIRA SILVA</p><p class="cargo">Ordenador de Despesas</p>;11/09/2026
http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=11/09/2026&jornal=530&pagina=12;AVISO DE LICITAÇÃO;<p>Modalidade: Pregão 193/2026 / Número do processo: 67287.004807/2026-71 / Objeto: Contratação de empresa especializada para execução de serviços de lavanderia de roupas de hotelaria e hospitalares deverá observar requisitos técnicos mínimos, de modo a assegurar a adequada higienização, conservação, rastreabilidade, segurança sanitária e qualidade dos serviços prestados, garantindo condições apropriadas de uso das peças destinadas ao atendimento das atividades operacionais e assistenciais.</p><p>Data de início de recebimento de propostas: 11/09/2026, 09:00. Forma de apresentação: Eletrônica</p><p>Data de Abertura: 25/09/2026, 09:00</p><p>Endereço eletrônico do Edital: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=12062505001932026</p><p class="assina">ULISSES CRUZ DA COSTA</p><p class="cargo">Agente de contratação</p>;11/09/2026
